页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5042596940617848,砀山发布,2024-06-07 11:51:00,【日学一纪 | 收下礼金“换”来一个处分】廉洁纪律是党组织和党员在从事公务活动或者其他与行使职权有关的活动中应当遵守的廉洁用权的行为规则，是干部清正、政府清廉、政治清明的重要保障。党章明确规定了党的各级领导干部必须正确行使人民赋予的权力，坚持原则，依法办事，清正廉洁，勤政为民，以身作则；反对滥用职权、谋求私利的行为。网页链接,0,0,1,,宿州,安徽,中国
2,5039747173188731,z夏天的风zz,2024-05-30 15:07:03,二大，首次确认民主集中制的建党原则 六大，第一次明确规定党的组织原则是民主集中制 ,0,0,0,浙江,,浙江,中国
2,5039023827717291,各界新闻网官微,2024-05-28 15:12:44,#政协动态# 【党旗引领履职路——全省政协系统党的建设工作座谈会侧记】□ 首席记者 唐冰　　求木之长者，必固其根本。坚持党的领导是政协事业发展的根本保证，也是各级政协组织必须恪守的根本政治原则。　　5月24日，全省政协系统党的建设工作座谈会在西安召开。会议对加强全省各级政协组织党建工作作出新部署、提出新要求，发出以党的政治建设为统领推进政协党的各项建设、推动全省政协工作高质量发展的时代强音。　　强基固本赋能铸魂　　“欲事立，须是心立。”习近平总书记关于党的建设的重要思想，是习近平新时代中国特色社会主义思想的“党建篇”，为新时代党的建设提供了科学指引，是政协党的建设工作的根本遵循。　　省十三届政协以来，全省各级政协组织坚持以习近平新时代中国特色社会主义思想为指导，严格落实“第一议题”制度，扎实开展主题教育、党纪学习教育，聚力强基固本，以高质量党建引领政协工作高质量发展。　　西安市政协党组修订《党组工作规则》《专门委员会分党组工作规则》等制度，并将2024年确定为“制度执行年”，把234名党员委员编入29个临时党支部，在政协重要活动中设立临时党支部或党小组。同时，健全完善以党组理论学习中心组学习为引领、习近平新时代中国特色社会主义思想学习座谈会为重点、政协大讲堂为补充、委员读书为常态的学习体系，举办12场委员报告会、6期文化大讲堂，筑牢团结奋斗的共同思想基础。　　锚定思想理论武装目标，省政协机关党组把建设学习型机关作为提升党建工作质量的有力抓手，建立机关党组带头学、分党组同步学、机关党委统筹学、党支部推进学、青年学习小组主动学、党员干部自主学的“六学联动”机制，推动理论学习从有形覆盖向有效覆盖转变。创新建立机关处室党支部“周周论学”机制，设置“每周集中学习日”，组织党员干部轮流讲、相互学。　　立足人民政协职能定位，延安市政协机关党组强化“四个责任”，用足用好延安红色资源优势，定期组织机关干部走进革命旧址、学习书院、梁家河等地开展现场教学和读书分享。坚持把服务保障政协履职作为重要责任，对政协年度工作要点的每项任务明确到部门、具体到岗位、落实到个人，及时有效贯彻落实政协党组会议、主席会议部署安排，切实强化履职能力。　　党建履职相融互促　　如何把习近平总书记关于党的建设的重要思想贯彻落实到政协履职全过程，推动党建与履职相融互促？全省各级政协组织把“国之大者”“省之要事”和“市之重点”贯通起来，找准履行职能的方向、主题、角度、落点，把讲政治的要求贯穿政协工作全过程。　　港澳政协委员是港澳地区爱国人士的杰出代表，充分发挥其“双重积极作用”，有利于广开言路、广开才路，充分调动各方智慧和力量，推进各领域交流合作。　　省政协港澳台侨和外事委员会分党组注重把党对人民政协和港澳工作的要求与委员思想认识相结合，组织委员“键对键”进行互动交流，潜移默化中把“总书记的思想”变为“生动道理”，不断增强服务港澳工作大局的坚定性和原则性。探索“党员委员＋港澳委员”结对履职机制，通过党员委员“领”和“带”，有效增强了港澳委员助力陕西发展的责任担当。　　“不学习不调研、不视察、不协商！”渭南市政协党组把“第一议题”制度与履职工作相融合，建立协商议政前置学习制度，明确习近平总书记怎么讲、省委怎么部署、市委怎么要求。2023年，市政协12篇调研协商报告得到市委书记等领导批示和部门答复，4篇调研报告荣获全省政协系统、全市党政领导干部优秀调研成果奖，45篇社情民意信息得到省市领导批示和部门办理答复。　　依托政协党组、常委会、专委会、委员工作室，神木市政协党组将不同界别、不同行业的党员委员有效“链接”起来，建立履职功能型党支部，构建起“政协党组、机关党组、机关党支部、基层政协组织履职功能型党支部或临时党支部”的组织架构。2023年，市政协组织开展各类视察调研和走访慰问活动50余场次，党组织活力得到充分体现。　  走深走实群众路线　　政协委员来自人民、扎根人民、造福人民，全省各级政协委员始终坚持协商于民、协商为民，积极联系服务界别群众，紧扣人民对美好生活的新期待议政建言，纾民困、解民忧、惠民生。　　省政协经济委员会分党组坚持把履职“服务为民”作为工作重点，组织经济界委员参加佛坪县重点产业链招商推介会，助力乡村振兴。扎实开展“双走进”活动，指导西咸新区委员工作室围绕民营企业反映的营商环境问题开展“微协商”，深入陕鼓集团、陕西交控集团等企业园区倾听意愿诉求，协商解决问题。　　杨陵区政协党组搭建党建服务、志愿活动和凝聚合力三个平台，让党员委员先锋作用“强起来”；坚持党建赋能履职为民，20余名党员委员与4个包抓村党支部、7个企业委员党支部、5个镇（街道）委员工作室互联互助，积极反映群众呼声、回应群众诉求，帮助群众办实事、做好事、解难事。　　根深则叶茂，本固则枝荣。全省广大政协委员跟随信仰灯塔，践行初心使命。　　汉中市汉台区政协党组建立“双联系”机制，党组成员联系党员委员、党员委员联系党外委员，通过早餐会议、上门走访等形式交流思想、凝聚共识、助力发展。今年以来，帮助解决委员及所在企业困难诉求11件，征集上报委员建议28条，早餐会议模式在全区推广学习。在基层社区、联络处创新建立党员先锋岗、示范岗、责任区，一年来，依托基层阵地接待群众500多人次，化解反映问题70余个，收集社情民意70多条。　　在一线协商中凝聚共识力量，在共建共治共享中增进民生福祉，全省各级政协在党旗引领下，把服务为民的委员作业写在三秦大地上。,0,0,0,,西安,陕西,中国
2,5037800099938812,社科小普,2024-05-25 06:10:04,发布了头条文章：《中心特稿 | 增强纪律学习的自觉性和坚定性》 严明纪律是马克思主义政党重要建党原则。中国共产党是靠革命理想和铁的纪律组织起来的马克思主义政党，纪律严明是党的光荣传统和独特优势。#党纪学习教育# #党规党纪# #纪律严明是从严治党的重要保证#  中心特稿 | 增强纪律学习的自觉性和坚定性 ,0,0,3,北京,北京,北京,中国
2,5037472411287661,菜菜xc13,2024-05-24 08:27:56,#青年学生理论学习小组##学深悟透新思想 挺膺担当建新功#    经过认真的学习和深入的思考，我对党的认识不断提高，特别是入党动机。中国共产党从诞生那天起，就是按照马克思列宁注意建党原则建立起来的不同于其他政党的新型的工人阶级政党。中国共产党始终是工人阶级的先锋队组织，是中国各民族人民利益的忠实代表，是中国社会主义事业的领导核心。她以马列主义、毛泽东思想、邓小平理论和“”重要思想为指导，是解救贫苦人民于水深火热的民族灾难中的唯一伟大的力量，创造先进生产力和先进文明的核心力量。党的最终目的是实现的社会制度，其宗旨是全心全意为人民服务。中国共产党不但是由现代先进生产力的代表――工人阶级所组成，而且是由工人阶级中具有觉悟的先进分子组成。较之其它政党团体，它有先进的阶级基础，由最先进的分子组成，是最值得信赖，最有威信和最有前途的政党。（教育学院第二学习小组）@文理先锋,0,0,0,四川,成都,四川,中国
2,5036842980738791,铁岭日报,2024-05-22 14:46:49,#辽宁好网民守法好公民# 组织纪律是规范和处理党的各级组织之间，党组织和党员之间以及党员与党员之间关系的行为规则，是维护党的集中统一、保持党的战斗力的基本条件，其本质要求是坚持民主集中制，贯彻落实新时代党的组织路线。违反组织纪律的行为主要包括以下几类：违反民主集中制原则；不落实组织决定；不按规定说明和报告；搞非组织活动；违规选任干部；违规谋取人事利益；侵犯党员权利；违规发展党员；违反出国（境）管理规定等。新修订的《中国共产党纪律处分条例》第七章“对违反组织纪律行为的处分”共17条，增写2条，修改7条。新增第八十条，对在党组织纪律审查中，依法依规负有作证义务的党员拒绝作证或者故意提供虚假情况，达到情节较重或者情节严重程度的，给予警告、严重警告直至开除党籍的处分；新增第八十五条，明确规定在推进领导干部能上能下工作中搞好人主义，存在以党纪政务等处分规避组织调整、以组织调整代替党纪政务等处分或者其他避重就轻作出处理行为的，视情节给予相应处分。在第八十六条增写对在授予学术称号中弄虚作假、违规谋利行为的处分规定，促进营造识才爱才敬才用才的良好氛围，为推动创新人才评价机制提供纪律保障；在第九十一条对党员虽经批准因私出国（境）但存在超出批准范围的行为作出处分规定；等等。,0,0,0,,铁岭,辽宁,中国
3,5036606786111179,耀钎桃桃冰茶_,2024-05-21 23:08:16,#青年学生理论学习小组##学深悟透新思想 挺膺担当建新功#         党的基本知识主要涵盖了党的发展历史、党的性质和纲领、宗旨和作风、组织原则和纪律等重要内容。这些知识的概括和总结，体现了马列主义、毛泽东思想、邓小平理论和“三个代表”重要思想关于党的建设的基本道理。具体来说，党的基本知识中揭示了党的阶级基础及其先进性，提出了党的根本宗旨，并明确了党在国家政治生活中的领导地位以及党与其他各个组织的关系。党的最高理想和最终目标是实现共产主义，这决定了党的奋斗目标和前进道路。        此外，党的指导思想，也就是用以指导自己行动的思想、理论体系，对于一个政党来说至关重要。它不仅关系到一个政党的性质，也关系到它和它所代表的阶级的命运和前途。中国共产党之所以能够成为先锋队，并领导中国革命和建设不断取得伟大胜利，决定的因素就在于它把马克思列宁主义、毛泽东思想、邓小平理论和“三个代表”重要思想作为自己的指导思想。（文法学院第一学习小组）@文理先锋,0,0,0,四川,成都,四川,中国
3,5036427543054272,陕西党建网,2024-05-21 11:16:01,#《中国共产党纪律处分条例》学习问答#【党的纪律处分工作的原则是什么？】党的纪律处分工作遵循下列原则：（一）坚持党要管党、全面从严治党。把严的基调、严的措施、严的氛围长期坚持下去，加强对党的各级组织和全体党员的教育、管理和监督，把纪律挺在前面，抓早抓小、防微杜渐。（二）党纪面前一律平等。对违犯党纪的党组织和党员必须严肃、公正执行纪律，党内不允许有任何不受纪律约束的党组织和党员。（三）实事求是。对党组织和党员违犯党纪的行为，应当以事实为依据，以党章、其他党内法规和国家法律法规为准绳，执纪执法贯通，准确认定行为性质，区别不同情况，恰当予以处理。（四）民主集中制。实施党纪处分，应当按照规定程序经党组织集体讨论决定，不允许任何个人或者少数人擅自决定和批准。上级党组织对违犯党纪的党组织和党员作出的处理决定，下级党组织必须执行。（五）惩前毖后、治病救人。处理违犯党纪的党组织和党员，应当实行惩戒与教育相结合，做到宽严相济。,3,8,14,,西安,陕西,中国
3,5036083309973296,长沙微芙蓉,2024-05-20 12:28:10,【党纪学习教育 |《中国共产党纪律处分条例》解读之一】近日，中共中央印发了新修订的《中国共产党纪律处分条例》（以下简称《条例》）。这是党的十八大以来，我们党第3次修订《条例》。作为规范党组织和党员行为的基础性法规，《条例》对确保全党在政治立场、政治方向、政治原则、政治道路上同以习近平同志为核心的党中央保持高度一致，具有十分重要的作用。党纪学习教育 |《中国共产党纪律处分条例》解读之一#快乐芙蓉韵味无穷##党纪学习教育#,0,0,0,,长沙,湖南,中国
3,5035801564156091,滨州文旅,2024-05-19 17:48:36,【#党纪学习教育#③丨政治纪律是什么，违反政治纪律的行为有哪些？】《中国共产党纪律处分条例》第二编分则第六章是对违反政治纪律的行为的处分规定。新修订的纪律处分条例第六章共28条，增写2条，修改12条。网页链接政治纪律是党的各级组织和全体党员在政治立场、政治方向、政治原则、政治道路上必须遵守的行为规则，是维护党的团结统一的根本保证。在党的纪律中，政治纪律是最重要、最根本、最关键的纪律，是打头、管总的纪律，遵守政治纪律和政治规矩是遵守党的全部纪律的前提和基础。,0,0,0,,滨州,山东,中国
