页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023071599330548,爱可可-爱生活,2024-04-14 14:44:16,【Mltraq：一个开源 Python 库，专门为 AI 开发人员设计、执行和共享实验，可以跟踪任意内容，流式传输、复现、协作和在任何地方恢复计算状态】'Mltraq - Track and Collaborate on AI Experiments. - Track and Collaborate on AI Experiments.' GitHub: github.com/elehcimd/mltraq #开源# #机器学习# #人工智能#,41,2,25,北京,北京,北京,中国
2,5023355454097113,A-期刊论文杂志社发表,2024-04-15 09:32:12,《漫科学 科学教育》省级，维普月刊，纸质刊 ，3版5000字符起发 收：科教论坛，科学教育研究，科学普及与科赛突破，创新人才培养，科教改革，教育信息化，科教实践与科学实验设计，科技成果转化，科教融汇，整本256页 ,0,0,0,河北,张家口,河北,中国
2,5023339921802721,溧阳发布,2024-04-15 08:30:29,日前，市第二实验小学开展以“锦绣华服 寻梦春日”为主题的校园华服节系列活动，让学生感受传统文化的深厚底蕴。 活动当天，老师、学生们身着民族服装、中式服装等，一起行拱手礼、鞠躬礼、叩首礼等传统礼仪。各班还开展了乐器演奏、棋盘对弈、汉服设计等传统文化体验活动，节日氛围浓厚。 ,0,0,1,,常州,江苏,中国
2,5023335985710118,中国教育电视台,2024-04-15 08:14:51,#全民国家安全教育日# 为增强同学们的国家安全观念，厚植爱国情怀，4月9日，安阳市文峰区第二实验小学少工委组织开展了“国家安全教育日”黑板报评比检查活动。各中队积极响应，队员们精心设计，同心协力创作出了一幅幅主题鲜明突出，内容积极向上，形式多样的黑板报，不断增强维护国家安全的责任感与使命感。@安阳市文峰区第二实验小学官博,0,1,5,,,北京,中国
2,5023329293699617,Usuakari,2024-04-15 07:48:15,我现在懂了mnknss就是tk让自己作品里最有名的那个和其他加起来的两大阵营互相打架，来做实验角色设计到底是集中好还是分散好 ,0,0,0,江苏,南京,江苏,中国
2,5023271636697321,九莘i,2024-04-15 03:59:09,终于把实验设计写完了 ,0,0,0,上海,上海,上海,中国
2,5023222526904660,流浪扣扣日记,2024-04-15 00:44:00,自己做的特别满意的图……第一张的排版 我真的是天才！！！！上次细胞实验报告里面讨论了传代时细胞的脱附和贴壁过程时不时必要的，然后设计了用在原代培养中贴上网然后让细胞爬到网上，再把网取出来放到新的🧫里作传代，还把网分成两半用来作为对照，特别有意思特别天才的设计,0,7,1,湖北,武汉,湖北,中国
2,5023215099840770,0绿巨不要吃甜食0,2024-04-15 00:14:29,在最慌忙的时间里读了一篇我觉得写的贼好的Cell，整个思维逻辑超级流畅，实验设计的很有意思，至少比免疫这边的套路性实验好很多，妈呀真的好想学神经生物了，想当年进来最感兴趣的都是脑科学现在怎么又肿瘤和免疫了 ,0,0,0,江苏,南京,江苏,中国
2,5023214117850635,Shinw_,2024-04-15 00:10:35,#其实四月才是考研真正的分水岭#当年七月份开始准备，第一个月就学了政治，九/十/十一月份大四上学期三门理论课，三个实验课以及三个课程设计，也没耽误上岸，何必制造焦虑，反而感觉一直强调这些的才是无法上岸的 ,0,0,2,广东,深圳,广东,中国
3,5023207814600397,秋凉peri,2024-04-14 23:45:32,啊哈？！我真的笑了，tm你自己不写就等我，要使唤人又看不起人😅是谁给你惯的毛病啊，讨厌急功近利的人！就是你这种人，整天发几篇文章要写啥说说说，什么什么课题都是你的，好好好，写完全世界你最牛逼了好吧。然而现实情况呢就是做科研，想要得到什么数据怎样设计实验，怎么合理，tm都不考虑。只幻想着做完发文章发文章，那么大的脑子不知道咋想的问一个问啥要做这个啊，人家SCI这么做了这个，我无语了好吧，不是你做了这个就能发SCI的，要考虑实际情况吧，现实就是你连他会得到什么都不知道。没有几斤几两的本事，心气还tm高。我写的东西吧要你改的吧你从来没tm提出过建设性的意见，问就是忙还没看，把你当个师长问问还高贵的，反过来整天问我这写了吗那写了吗？？？OK？这是我的事，tm我问你的时候你不是忙吗？反过来催催催，整天想着剽窃抄袭，卧艹我真tm受够这种男的了！啊啊啊啊啊啊啊好想骂回去啊！煞笔！,0,0,0,重庆,,重庆,中国
3,5023207583125915,是瓦娜吗,2024-04-14 23:44:37,在种完板后突然发现实验设计的大bug是对我周末躺了两天的严惩，明天又是组会日，还得和公司那边谈好，真完了 ,0,0,0,浙江,杭州,浙江,中国
3,5023202300661563,_巴黎在逃圣母-_-,2024-04-14 23:23:38,3.15 理了理研究思路3.20 组会报思路，一半能用，一半不能用3.24 设计实验流程3.25 开始筛量表3.29 开始做程序4.3-4.6 在泉州玩4.9 信誓旦旦催促老师看程序，要准备招被试了4.10-4.13 又玩+改卷4.14 实验流程不行，改了最后一版，强行开始招中间夹杂各种课程汇报这点活干了正好一个月，可以说没干啥，但也没闲着,0,1,1,福建,福州,福建,中国
3,5023196874806097,我哦你哦大家哦,2024-04-14 23:02:04,太原理工大学急需设计模式实验报告，出价，有人有么 ,0,0,0,山西,太原,山西,中国
3,5023193284743968,小狗骑士阿瓜,2024-04-14 22:47:48,明日计划： 1.读至少两篇DDM或EEG实验设计相关的文献 2.学一点unity入门 3.push一下社会计算大赛进度 4.给师兄当被试 5.有空去修电动车 罗伯特监督我 ,0,2,1,上海,,上海,中国
3,5023192723229121,碳酸可乐豆,2024-04-14 22:45:34,真不明白学校设计实验还要限制字数2000字以上 实验设计不是精简易懂的比较好吗 ,0,3,0,广东,珠海,广东,中国
3,5023189371721534,陈宛豫,2024-04-14 22:32:15,尝试让AI编制量表，生成访谈提纲，生成实验设计及操作，居然感觉出乎意外蛮准确的，很大程度上可能会比今天开题的很多同学思路都清晰。智能化时代，人太容易被替代，更应该时刻保持探索和精进。 ,0,6,8,广西,桂林,广西,中国
3,5023184901114885,x_outooto,2024-04-14 22:14:29,着急下班的时候，在实验室每一条动线都是精心设计的 ,0,1,0,河南,郑州,河南,中国
3,5023182652704024,sherplophturtle,2024-04-14 22:05:33,狗屎病毒检验小组作业结束，下面有请设计性实验粉墨登场！😅😅😅 ,0,2,2,四川,成都,四川,中国
4,5023106433548733,梁皓瑋Wayne,2024-04-14 17:02:41,第四版-《飞驰人生2》对撞实验室转场概念设计----------------------------------------------将灼烧版本与粉尘版本结合车身印花采用灼烧效果，而车漆的部分则用粉尘的形式呈现另外，增加双车撞击后，A3在粉尘形成的隧道内完成涂装幻化，最后转场至赛道 #飞驰人生2##概念设计##影视概念设计##电影# ,18,2,12,广东,珠海,广东,中国
4,5023174909757785,阳三好,2024-04-14 21:34:47,不管说这是成都阿那亚还是成都代官山，先锋、独立、前卫、实验、永续......cpi引领着一种更新的生活态度，拥抱自然、热爱生活、细节藏真，体验各种新鲜零售家具设计调性餐饮，还是小猫🐱小狗🐶的友好社区~快去打卡吧~ 📍成都天府新区麓湖水镇(地铁1号线红石公园站)📍📷富士XT4 🎬XF33mm F1.4 成都·麓湖水城,0,0,2,四川,成都,四川,中国
4,5023143255345593,智慧红谷滩,2024-04-14 19:29:00,【破防~ #学生做自卑测验结果让家长泪奔# 】#山东一学校推出5步自信测试# &quot;对自己的样貌是否满意？&quot;&quot;爸爸妈妈是否以你为傲？&quot;……近日，山东临清，专家为一所中学设计了一个户外心理实验。在5个测试问题之后，原本处于相同起跑线的同学们因答案不同拉开差距，场面让人破防。“勇于面对内心自卑的部分，通过努力来改变起点！”最终，同学们在鼓励声中露出笑容勇敢奔跑。加油吧少年，胜利属于不懈追求的你~@齐鲁电视台 齐鲁电视台的微博视频,0,3,2,,,,中国
4,5023130550011101,耳听目视,2024-04-14 18:38:30,分享专辑 Point Line Cloud任教加州大学圣巴巴拉分校的电声乐手 / 研究员 curtis roads，05年创作的实验性微声颗粒专辑，进一步实践他在著作《microsound》一书中探讨的微观声响理论。声响乐手 / 视像设计师 brian o'reilly 负责视频制作。curtis roads 在担任 computer music journal 副主编期间，撰写过不少关于电脑 / 电声音乐的理论、教学书籍，也曾在12年参加过 北京国际电子音乐节 演出。,0,1,1,美国,,美国,美国
4,5023125525760665,番茄灰灰酱,2024-04-14 18:18:33,比论文还难的管路设计说明书。难上加难的化工原理化工热力学期末考。没有一点知识储备的通识课结课考试。期中就不配拥有考试周吗。。这周还有两大节实验课。 ,0,0,0,浙江,杭州,浙江,中国
4,5023119209139317,小烊许的什么愿,2024-04-14 17:53:27,本来觉得我是没有拖延症的，但是发现我发展对象的答辩PPT拖到现在还没完成，更不必提那C语言课程设计了我都不好意思和别人说我还没写完实验书初稿，没办法洗了天杀的我要死了 ,0,1,0,安徽,芜湖,安徽,中国
4,5023117947438076,狗彤一路硕博,2024-04-14 17:48:26,又认真写了一遍“前测”的大题 第一个画交互还是把自己画坑里去了 （横坐标选的好像不太对 画出来烟花了……救命） 我再去把2*2的画一画捋顺捋顺 实验设计还是要自己动手写才能发现问题 萧妈的模板yyds 概括全面又有思考空间！ 大喊萧门～啊呜～@心理萧宵老师 实验心理学 ,0,0,2,山东,潍坊,山东,中国
5,5023110753157474,_臭脸达人,2024-04-14 17:19:50,人🧠怎么可能同时办到做实验看文献设计课题学新的东西自己解决实验问题还要打杂哈哈 ,0,1,0,天津,,天津,中国
