页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048188282602803,广州平面设计师联盟,2024-06-22 22:09:00,#设计美学# 解·卫生间行为研究视觉设计  在互联网大厂“厕所革命”的背景下，除却基本的生理需要之外，卫生间这个场所已经成为一种讨论，或是符号。它是被管理者赋予了权利意志的体现，同时亦是个容纳「社畜」摸鱼及呼吸的角落。——解压？逃避？喘息？  by 方青也 ,6,0,13,广东,广州,广东,中国
2,5048209712611623,_Lieblingsmensch,2024-06-22 23:34:08,就从棒粉因为稍息不好看侮辱粉丝审美这件事来说，我真觉得因为个别爱好把人划分成各种身份各种阵营从而合理化自己的攻击性行为是一件很愚蠢的事情。一般人说自己精法可能会被认为是左派人士，但这本来就是一个很幼稚的先入为主的看法，会这么认为只是因为中国人对法国有“革命老区”的印象，精法并不都是左衽，但他们也未必不支持左派政党。然而尅泡大多数粉丝刻板化的语言和行为让她们觉得笼统地为一部分人划分阵营、扣上标签是很正常的,0,0,0,江苏,,江苏,中国
2,5048038542016702,黑天2023,2024-06-22 12:13:58,那些真正的哲学家已经死绝了，张雪峰这话说的是对的。现存的所谓的哲人，不过是拿着过去的那些革命性的哲学家的框架体系，做个人理解再复述一遍，就这样的行为，也是难能可贵的了，而多数人对哲学的理解，便是传统的形而上学式的玄学了，换句话说，一次伟大的科学或是科学学术的里程碑式的进步，它不一个单一的个体可以去完成的，以及完全承载的。而站在巨人的肩膀上看世界的运动规律，这已经是非常神奇而美妙的人生经历了。,0,1,0,浙江,嘉兴,浙江,中国
2,5047637025753501,去买可樂呀,2024-06-21 09:38:30,余则成这个角色真的很成功，聪明温柔，临危不乱，孙红雷不帅关我们余则成大帅哥什么事呢😭翠萍是个好的战斗者革命者但不一定是一名合格的潜伏者，看到她中计甚至在余则成告诫后还想私自去联络站的行为气个半死，但在看到生离死别时还是不可遏止地希望，至少，至少给余则成和翠萍一个光明的明天吧。最后结局余则成与晚秋执行新的任务，余则成在结婚照前落泪的样子，晚秋眼里少了忧伤多了坚定的样子，我想这也算是一种留白，就算不知道翠萍的真名，就算时局有新的考量，就算我们都知道不久后爆发的危机伤亡惨重，但或许呢，一年两年之后，也许他真的能回故乡，真的能不再只是隔窗相望....英雄主义本来就是一种心存幻想，所以我愿意在幻想里，给他们最好最圆满的结局。,0,11,27,吉林,,吉林,中国
2,5047526900367932,呆逼你呆不呆,2024-06-21 02:20:54,怎么讲，fusion虽然是fusion，但是咱们东亚的Y染色体也真的是蛮强哈…过于强了…有些行为和思想还是没被法兰西革命老区拗过来诶 ,0,2,1,法国,,,法国
2,5047492251223915,爱吃豆奶冰淇淋,2024-06-21 00:03:13,#顶流大模型盘古上新#  @华为云  华为云盘古大模型5.0重磅亮相我最期待盘古大模型5.0能够在自动驾驶行业带来革命性的变化。随着模型的升级，自动驾驶系统的感知能力、决策能力和安全性都将得到显著提升。想象一下，未来的自动驾驶汽车能够更加精准地识别复杂路况，预测行人和其他车辆的行为，并在瞬间做出最安全的驾驶决策。这将极大地减少交通事故，提高交通效率，甚至可能改变人们的出行方式和城市设计。,0,0,0,湖南,长沙,湖南,中国
2,5047492155277613,吃吃饼吗,2024-06-21 00:02:49,Tips: 在经期综合症时 远离npy [淡淡的] 禁止输出任何暴力行为/革命 ,0,0,1,广东,深圳,广东,中国
2,5047395257680312,黑麦面包糠,2024-06-20 17:37:47,坚持纪严于法 纪在法前近日，《人民日报》发表评论文章《自觉用党规党纪校正思想和行动》，文章中指出：“坚持纪严于法，把纪律规矩挺在前面，推动党在革命性锻造中更加坚强有力。”要求党员、干部把遵规守纪刻印在心，内化为言行准则，用纪律建设来校准思想之标、调整行为之舵、绷紧作风之弦。一是要衷于“学”，夯实遵纪守纪“思想根基”。“没有规矩，不成方圆。”严明党的纪律，全面加强党的纪律建设，有利于增强全党的创造力凝聚力战斗力，把党锻造成一块攻无不克、战无不胜的坚硬钢铁。深刻理解加强党的纪律建设的逻辑意蕴，必须提高政治站位，强化使命引领，以更加恢宏的视野深化对党纪学习教育的科学认识。坚持在学习中强化使命担当，牢固树立正确的政绩观、权力观、事业观，力戒形式主义、官僚主义，以过硬的政治本领高质量完成新时代赋予的历史使命。二是要勤于“悟”，筑牢防腐拒变“基础堡垒”。党的十八大以来，以习近平总书记为核心的党中央3次修订《条例》，体现了党中央坚持全面从严治党，以严明纪律推进党的自我革命的坚定决心。党纪学习教育开展以来，习近平总书记多次发表重要讲话、作出重要指示，为开展好党纪学习教育提供了重要遵循。我们广大党员、干部要原原本本学、原汁原味悟，坚持个人自学与集中学习相结合，学深悟透总书记关于加强党的纪律建设的重要论述，准确掌握《条例》的主旨要义和规定要求，把纪律规矩内化于心、外化于行。三是要坚于“守”，永葆清正廉洁“公仆本色”。践行“纪严于法、纪在法前”，要加强对党章党规党纪的学习，更加清醒地认识到守纪律的重要性，了解违反纪律将会受到什么处理，增强自律意识和遵纪守法的自觉性。在思想上时刻想到自己是党的人，牢记责任使命，积极向高标准看齐，筑牢底线、守住红线，不越界、不逾矩。同时，我们也要接受组织和群众的监督，确保自己的行为始终符合党纪国法的要求。最后，坚持纪严于法、纪在法前，是坚持全面从严治党、加强党的建设、强化党内监督的制度保障。我们要把增强纪律意识、规矩意识落实到用党章党规党纪约束自己的一言一行上，养成在受监督和约束的环境中工作生活的习惯，不断增强政治定力、纪律定力、道德定力、抵腐定力，始终做到忠诚干净担当。,0,0,0,福建,莆田,福建,中国
2,5047281534110171,用户5335617723,2024-06-20 10:05:54,关于需求第一性原则，其实是辩证唯物主义在政治，社会，经济方面的延伸，但是由于历史的发展阶段限制，与革命导师的某些结论有所不同。在需求第一性原则中，人类根本需求是第一性的，具有物质性，而劳动是人类为满足自身根本需求而产生在精神层面的需求并对自然界进行改造的行为。所以劳动本身是第二性的，生产力并非天然适应和满足人类根本需求，发展生产力首先要认请哪种生产力才是真正满足人类根本需求，不能盲目讲发展生产力。,0,0,0,北京,,北京,中国
2,5047033516527246,笙歌散尽离人后,2024-06-19 17:40:22,每日一遍：1.公开澄清革命历史剧《追风者》有且仅有一个男主魏若来！2.就剧组将男配角报送男主角的不当行为公开发表道歉声明！3.请停止联动发文高高在上网暴/威胁/指责和甩锅无辜的观众！4.请某叔停止买热搜和氵军肆意辱骂/拱火/网暴年轻艺人及其粉丝！5.停止一切下通稿威胁观众和恶意抹黑年轻艺人口碑的不道德行为！6.请把追风者的男主还给魏若来并就在违背契约后逃避责任导致年轻艺人被黑水恶意抹黑做出最真诚的致歉！@电视剧追风者 @姚晓峰 @陈祉希@张书维Sukie@儒意影业 @启蒙影业官微 ,45,14,126,江苏,南京,江苏,中国
