页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023558906151343,晃荡在晚风里的玛丽,2024-04-15 23:00:39,今天真是信息量过载的一天啊！ ,0,3,0,广东,深圳,广东,中国
2,5023547967934704,芒果西瓜爽,2024-04-15 22:17:11,昨天和亲友聊天时突然悟了为什么去年底刚搞史同时是我明明在果³那后来却迅速爬墙到了糖诗人这边，大概是大脑的自动保护机制让我远离热圈远离ttk真的不想再经历那种因为打架和社交导致信息过载的感觉了，被过多的信息挤得脑壳幻痛，持续性因下家范建生气，间接性为同担社交内耗，最后甚至影响到了现生状态现在只想单机嗑一些舒适区里的熟人产品舒缓心情，无所谓粮多粮少。所以特别佩服亲友和我同时从前圈跑路却跑去了死小。。。感觉她是从一个火坑跳到另一个火坑。。。。,0,0,1,安徽,铜陵,安徽,中国
2,5023538392867811,闻道老君,2024-04-15 21:39:08,于天罡 智能文明时代，人类患了信息消化综合症，主要是信息茧房、信息牢笼？信息过载和信息焦虑……#智能文明#信息消化综合症 闻道老君的微博视频 ,0,0,0,吉林,长春,吉林,中国
2,5023477188267096,国网陕西电力,2024-04-15 17:35:56,#数智化建设#【略阳公司：用好数字化工作台微应用，助力基层减负增效】4月15日，@国网汉中供电公司 略阳公司供服中心人员利用“台区不良工况日监测”数据微应用模块，对配变低电压信息、过载信息、重载信息、三相不平衡信息等进行实时监测，全面掌握配变运行情况，提前感知配变不良工况。一旦发现不良信息，及时联系相关班所迅速处理，从而有效减少配变负载率异常情况的出现，进一步提高了供电服务质量，提高工作质效，为客户的安全可靠用电提供了保障。（付伊萍   李哲）,4,2,3,,西安,陕西,中国
2,5023476643272436,凯雷,2024-04-15 17:33:46,谢谢借机说明下，前三年闭环，今年是直接到两会现场，开放力度前所未有，采访了135个代表、委员、政府官员，列席的省市一级的代表，列席驻外使节，正快马加鞭，争取发到四月底写完。主要现在是全媒体，拍了视频就走，信息量过载，积累的录音过载。@view2340:凯雷，怎么感觉你一直在报道两会 #两会观察团#,1,5,7,北京,北京,北京,中国
2,5023409725774199,想太多小熊,2024-04-15 13:07:52,每次听到抖音外放和需要及时回复的信息我都会感官过载。 ,0,0,0,广东,汕头,广东,中国
2,5023406338083937,正经人谁上班啊,2024-04-15 12:54:24,这几天信息量过载了，对什么都提不起兴趣了。anyway求求彩7了，能不能告诉我到底吃的是哪一家手撕鸡啊？！这对我真的很重要‼️ ,0,0,0,北京,,北京,中国
2,5023385668815519,长颈鹿的围脖儿,2024-04-15 11:32:16,油管首页终于调教成了理想的信息流首页的样子，其实我给它的主动反馈动作其实少之又少。但从（信息获取质量和重要性➖耗费无意义时间➖鸡零狗碎过载信息）上，比其他内网所有信息流媒体—公众号、微博订阅、b 站小红书即刻播客平台等信息流，体验都好。（甚至连它的广告我都觉得对我是有用的）一个速度能带起视频的vpn+沉浸式翻译+能总结油管视频的ai插件，一套下来体验比公众号好太多……,0,1,0,北京,北京,北京,中国
2,5023362672493040,无形的漂流物,2024-04-15 10:00:52,最近在有意识降低手机使用频率，过程中发现当我把所有的社交平台都换到电脑上之后，它更像一个工具而不是我轻易就可以打开和获取信息的”养料“了。感觉每次在手机上打开这些平台，就像打开一个魔盒一样海量的信息涌出来，确实有点信息过载了。 ,0,3,1,澳大利亚,,澳大利亚,澳大利亚
2,5023356533345914,xifhbrhska,2024-04-15 09:36:30,昨晚上看信息过载看得我尸体暖暖的，睡眠质量出奇得好🥺 ,0,1,0,山东,济南,山东,中国
3,5023339171022002,砂糖炒栗栗子,2024-04-15 08:27:30,20240415今早感觉有点疲惫，不知道是半夜四点醒来，还是噜噜猫早上抓被子磨抓吵的。抑或是前一天听了太多播客信息量过载导致。总之感觉精神疲惫，醒转好几次，才在周一工作日的召唤里爬起身。给自己做了杯咖啡，热了剩菜海鲜大杂烩，还吃了两片猪肉铺，然后美美的看了一集《眼泪女王》。越到结尾越珍惜，男女主颜值美如画，再加上各种纯爱细节描写，着实是拨动老阿姨们的情绪。时而代入感情落泪，时而姨母笑尖叫不止。就连工作日也没那么无聊。打算洗个热水澡振奋下精神，播客稍微歇一歇，换上古典乐放松下神经。巴赫是我喜欢的音乐家，作品有种大气秩序美，很适合舒缓放松。此时听不进一点吵闹高密度信息，就打算听点音乐舒缓下神经。小猫胖墩墩蹲在脚边，让人又好气又好笑。好气之处在于格外能折腾，早上抓被子，时不时要摸摸蹭蹭。好像能感受到主人的精力不济，更是使劲博取关注。好笑在于萌头萌脑，安静下来母鸡蹲又格外惹人怜。这两天好似是肉松吃多了，又涨了几斤体重。看上去圆鼓鼓肉乎乎，非常有福相。等你爸比回来再带你运动一番，来回跑几趟减减肥。,0,0,0,上海,上海,上海,中国
3,5023315432047210,Ryebread-,2024-04-15 06:53:10,脑容量过载 信息爆炸 ,0,0,1,四川,眉山,四川,中国
3,5023300051271955,开心苹果酥,2024-04-15 05:52:03,我真的有点信息过载了 ,0,0,0,安徽,芜湖,安徽,中国
3,5022758825624341,魔石坑道叽喳铜山,2024-04-13 18:01:25,——想问问有没有和我一样遇到大量信息就会接受不过来，陷入大脑过载甚至焦虑情况的狒人很喜欢看国际服更新但每次信息一多就感觉莫名其妙烧起来了，不知道什么原理但没法加入更新讨论的感觉苦露西 ,0,17,74,广东,广州,广东,中国
3,5023218345973763,Ddddeadline,2024-04-15 00:27:23,今天看了《完美的日子》，觉得是近乎苦行僧一样清扫生活的日子，也是让人羡慕的日子。在信息过载的时代，我们好像一切都触手可及，反倒是那些需要等待的东西变得珍贵。就像役所广司饰演的角色一样，坐在友树之下，近乎虔诚地用胶片机捕捉光斑。拿去冲扫之后，又肯于果决地撕掉废片，把喜欢的照片慎重保存。工作的时候开车，放的也是磁带，比起像商店一样的流媒体，好像磁带更有自己的质感。家中100日元的书越堆越多，每天入眠的时候就拿起一本好好看，书、光斑、树影都会入梦。每次看这些镜头的时候，我都会在心中感叹内心富足的人真好啊！明明是靠近世俗层面肮脏的场所，内心却无法企及的干净。太喜欢这种日子，和役所广司一起流泪，喜欢在清晨的蓝色阴影里碰见第一道阳光的感觉，和他一样都feeling good。看完后偷偷关闭掉朋友圈的入口，总要给自己的生活扫出些空地。,0,2,8,上海,上海,上海,中国
3,5023213293930590,emo的土味测评师,2024-04-15 00:07:19,做内容分析编码，一天整完了二十篇英文和十五篇中文文献，看着这个进度条页面成就感满满，副作用是信息过载，看见屏幕就恶心。空虚无比 已进入贤者时间 ,0,0,3,福建,厦门,福建,中国
3,5023209982002700,十一点也不早了,2024-04-14 23:54:09,有时候分不清是信息过载还是纯觉得疲惫 ,0,0,0,重庆,重庆,重庆,中国
3,5023186829182494,小小黑咕咕咕,2024-04-14 22:22:09,咱妈配剧，听得脑壳嗡嗡嗡的，台词信息量这么大没字幕全靠听，bgm这么复杂还带人声，画面信息量还这么大。大脑过载了呀！ ,0,5,1,日本,,日本,日本
3,5023166747903498,昊新Vin,2024-04-14 21:02:21,#松弛感# 这本实体书到手了，当代人最大的问题在于，碎片化的信息过载，打开手机各种信息杂乱无章的迎面而来，隔三差五被一些热搜内容带节奏，制造各类信息焦虑。可以说这些信息99%以上和你的日常生活没有半毛钱关系，还有很多信息与你看似有关的源于你手机信息泄露包括搜索记录，手机后台窃听等。如何从这些信息焦虑中解脱出来，并享受生活该本该有的松弛感，以及对潜在泄露个人信息的源头进行闭环管理？松弛感需要更高层级的认知~,0,0,0,江苏,南京,江苏,中国
4,5023162215434185,彼得彼得,2024-04-14 20:44:21,一场家长会 两个探校活动 一个不停输出的亲戚 好累 信息过载 ,0,2,0,上海,上海,上海,中国
4,5023160347137259,-牧羊少年喊狼来了,2024-04-14 20:36:55,互联网几乎所有厉害的博主都开始教人提升能量 但我会认为高能量这个特质大多取决于天赋，天生高能量的不用学，而天生内耗的人（比如我）容易因为信息过载走向另一个卡点 ,0,0,0,广西,南宁,广西,中国
4,5023052700322053,焦虑的白羽毛,2024-04-14 13:29:10,天才不可以拯救我，迷糊的人也无法拯救我，但ysjx这种迷糊而真实的天才似乎可以…时常会感叹：世界上居然真有这种“人设”的存在啊…对于日常信息过载活得飘飘忽忽的我来说，【真实】是很重要的东西，能碰得到的触觉才有宽慰,0,0,0,浙江,杭州,浙江,中国
4,5022883828728107,清清白白白糯米,2024-04-14 02:18:08,白天聊天信息过载半夜真是睡不着一点 起床看剧写作业了 ,0,0,0,澳大利亚,,澳大利亚,澳大利亚
4,5022874610436061,桃乐淇_何苏叶的一片叶,2024-04-14 01:41:30,啧，大半夜感叹一句，教员的诗真的气势磅礴。他爱看书这事众所周知，在北大担任图书管理员期间肯定看完了藏书，据说资治通鉴看了六七十遍他这过载的阅读量信息量以及非凡的头脑和气度，当真前无古人后无来者教员选集真不是我看不下去，是真的文化知识水平有限导致我看不懂一点 ,0,1,0,安徽,淮南,安徽,中国
4,5022867788138827,榕铃,2024-04-14 01:14:24,发现我不爱写repo，因为对我来说“现场体验”更重要的是体验而非记录。 一直觉得我对现场表演没有感觉，但如果结论是还愿意再去，那应该是喜欢的。 真人面对面的信息量远远大于任何形式的记录。 只可惜为了避免信息过载我从来也没办法打开所有接收器。也许足够熟悉以后可以吧。 ,0,0,0,浙江,杭州,浙江,中国
4,5022866950586623,七八九jdjddj,2024-04-14 01:11:04,我感觉今天是信息过载的一天 对于一个社恐自闭来说，接收太多信息的坏处是让思绪变乱 ,0,1,0,广东,广州,广东,中国
