页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4944585023291746,黑敀,2023-09-11 00:46:38,上海的匆匆一日 由于没怎么规划，所以随便去了些地方，一座外向包容的城市，和北京完全是两种感觉 行程：国际饭店→龙华塔→龙华寺→龙华革命烈士纪念地→徐家汇天主堂→徐光启墓→上海交通大学早期建筑→真如寺大殿→上海博物馆→上海外滩建筑群→上海邮政总局→四行仓库抗战旧址 ,30,53,223,,,,
1,4871312176323844,胡言乱语啊,2023-02-20 20:06:30,上海不完全#航拍#  李塔 兴圣教寺塔 华严塔 泖塔 万寿塔 秀道者塔 护珠塔 吉云禅寺塔 松江唐经幢 真如寺大殿 徐家汇天主堂 圣三一堂 佘山天文台 佘山天主教堂 马勒别墅 上海交通大学早期建筑 ,11,12,31,,,,
1,4559580593661992,新民晚报新民网,2020-10-13 14:56:29,【拼颜值拼内涵！它们哪个是你的流金岁月？】#你不知道的上海秘密景点#上海有1058处优秀历史建筑，高校的校园里就有不少。@上海理工大学 拥有43幢历史建筑，而军工路校区的36栋组成了沪上高校校园中最大的一片历史建筑群；在@上海交通大学 徐汇校区，历史建筑也能“阅读”。去年年末，上海交通大学早期建筑群成为第八批全国重点文物保护单位，包括老图书馆、执信西斋、文治堂、新建楼、盛宅、华山路校门、史穆烈士墓、五卅纪念柱等16处文物本体均有二维码可以了解建筑故事。相辉堂是@复旦大学 校园内最具有历史意义的建筑之一，是复旦人共同的精神家园。相辉堂原名登辉堂，始建于1947年2月。最先登上登辉堂讲台的正是李登辉老校长。 新民晚报象牙塔老建筑的流金岁月 新民晚报新民网的微博视频,49,19,121,,,,
1,4526234263161604,上海住房城乡建设管理,2020-07-13 14:30:03,#校园# #建筑# 【妥妥的一座“建筑博物馆”！在这个百年校园内看经典建筑，品海派文化！】上海交通大学徐汇校区内，现存早期建筑是近现代中国高等教育的重要史迹和代表性建筑，妥妥的一座“建筑博物馆”。今天，让我们穿行于这个百年校园，看名校建筑，话海派文化。↓妥妥的一座“建筑博物馆”！在这个百年校园内看经典建筑，品海派文化！ ,17,1,8,,,,
1,4429515453238481,上海交通大学,2019-10-20 17:04:03,#交·资讯#  上海交通大学早期建筑成功入选第八批全国重点文物保护单位，位于上海交通大学徐汇校区内。  你有没有陶醉于徐汇校区优美的古建筑呢 ,13,18,188,,,,
1,4447304167820267,上海发布,2019-12-08 19:10:03,【上海交大这16处早期建筑入选全国文保单位！可免费参观哦】#探索上海#第八批全国重点文物保护单位——“上海交通大学早期建筑”今天在徐汇校区正式揭牌。这些建筑包含：老图书馆、新中院、中院、新上院、工程馆、科学馆、北四楼、执信西斋、文治堂、总办公厅、体育馆、新建楼、盛宅、华山路校门、史穆烈士墓、五卅纪念柱，共计16处文物本体。一起来了解一下吧！,38,6,43,,,,
1,4452948866455385,乐游上海,2019-12-24 09:00:03,【去这所大学来一场百年建筑之旅吧】徐家汇源，上海首个“开放型都市旅游景区”。在这里探访历史人文印记，解读海派文化精髓！这其中有一所大学拥有120岁的古老教学楼、100岁的老图书馆、94岁的体育馆……让人无限神往。日前，第八批全国重点文物保护单位——“上海交通大学早期建筑”正式揭牌。如何打卡这些传奇建筑？看过来！,4,0,5,,,,
1,4954149075553996,画堂春万卷书万里路,2023-10-07 10:10:46,#上海# 创建于1896年的上海交通大学，原名南洋公学，徐汇校区是最早的校区，校区内早期建筑群被评为优秀历史建筑，为全国重点文物保护单位。 这几天刚翻了半本交大史，看着这些百年建筑就格外有意思。半路又碰到两位估计是本校工作人员，不停吐槽和八卦… 上海 ,1,0,2,上海,上海,上海,中国
1,4875550243950671,灰色绘成灰色,2023-03-04 12:47:04,上海西南某高校  早期建筑… 复旦大学|上海交通大学 上海·上海交通大学(徐汇校区) ,0,4,6,上海,上海,上海,中国
1,4808934982943167,上海规划资源,2022-09-01 17:01:47,"【开学季，走进90多年前沪上最好的高校宿舍：执信西斋】#档案# 在上海交大徐汇校园西区一隅,静静伫立着一处文物级老建筑。自建造以来它始终默默坚守，与校同行。2019年，它作为上海交通大学早期建筑入选第八批全国重点文物保护单位，它就是执信西斋。值此开学季，让我们走进这处90多年前沪上最好的高校宿舍，探寻其背后的珍贵记忆。【档案】开学季，走进90多年前沪上最好的高校宿舍：执信西斋",0,0,0,,上海,上海,中国
