页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5015771295780907,凯文知产,2024-03-25 11:15:28,发明专利申请流程、申请资料发明专利概述：       发明是指人运用自然规律而研究提出用于解决某一特定问题的技术方案，中国专利法实施细中指出“专利法所称的发明是指对产品、方法或其改进所提出的新的技术方案”。中国专利法规定可以获得专利保护的发明创造有发明、实用新型和外观设计三种，而发明专利是最主要的一种。申请资料 ：        发明专利请求书、说明书摘要（必要时应当提交摘要附图）、权利要求书、说明书（必要时应当提交说明书附图）。 发明专利申请的审批程序1.受理       专利局在收到专利申请后将会对资料进行审查，确认符合条件者，专利局确定申请日后给出申请号，在核实过文件清单后，发出受理通知书并且通知申请人。2.初审       初审主要核实是否存在明显缺陷，审查内容是否属于《专利法》中不授予专利权的范围、是否缺乏技术内容、是否缺乏单一性和申请文件是否齐备等；初审合格者可获得初审合格通知书。3.公布       如果申请人没有提前公开的请求，将等到申请日起18个月才进入公开准备程序，要求提前公开者则立即进入公开准备程序，经过格式复核、编辑校对、排版印刷、计算机处理，约3个月后在专利公报上公布其说明书并出版说明书单行本。至此申请人获得临时保护权利。4.实质审查       如申请人已提出实质审查并且已经生效则进入实审，如自申请日起三年内未提出实审要求或者实审没生效者，申请被视为撤回、5.授权        经实质审查没发现驳回理由的，审查员作出授权通知，申请进入授权登记准备，对授权文本法律效力和完整性复核，对申请专利的著录项目修改、校对后，专利局发出授权通知书和办理登记手续通知书，收到通知书后2个月内按通知办理登记手续并缴纳相关费用，按期办理手续后专利局将授予专利权并颁发证书，在专利登记簿上进行记录，2个月后在专利报上公告，逾期或未按规定登记者视为放弃获得专利权。联系方式：15376167073,0,0,0,山东,济南,山东,中国
2,5015752001719016,窈窕淑女所谓伊人,2024-03-25 09:58:48,时代发展太迅速逐渐跟不上脚步。三年前，组里的硕士基本都是一种摸鱼的状态，研究方向一般是找一个偏门的没人做过的领域，再套上一个现成算法，水一水就能毕业。这两年开始，变成了找一个偏门的没人做过的领域、搭建一套检测系统、建立并公开自己的数据集、改进两个最新的网络、对比15+种方法、做一堆的对比实验和拓展研究实验。,0,0,0,湖南,长沙,湖南,中国
2,5014719150952730,车库工程师,2024-03-22 13:34:37,重新捡起一些技术系列去研究。世界上书有很多，但并不是随便拿起一本就苦学，应用价值太低，遗忘率太高。我现在的学xi方法则是:1/先观察，观察你最近工作中，生活中有啥痛点。想解决什么问题？然后，抓住这个问题，当做一个应用的机会，学东西就是用来解决，改进，提升它的。2/基于第一点之上，很多书，就像一个人，有没有出现在你对的时间点。在对的时间点，再去看它，而不是盲目地在学xi。这样，你就可以排除掉一些内容了，也许有些内容并不是现在适用的，即使是经典好书，即便你勉强学完了，也容易忘。人的记忆力很有意思，不合适当下的，遗忘的超快。而有些深度思考和写作，5年过去了，5年前我写过什么，「入木三分」，仍然印象深刻 。任何一个带着应用场景的学xi，都是在加深印象。,2,0,12,美国,,,美国
2,5014338664926542,论文发表红小豆,2024-03-21 12:22:42,论文发表《工矿xxx》，北核  cscd ， 预审通过题目 1、低可见度环境下基于改进……的矿下人员定位方法 2、基于物联网的煤矿……运行状态监测方法 3、低可见度环境下矿下……定位方法 4、煤矿均压开采环境中大载荷……方法研究 5、矿井……瓦斯浓度预测算法研究 ,0,0,0,河北,石家庄,河北,中国
2,5013731853208475,用户7393173826,2024-03-19 20:11:27,改进后的文本:我们认真研究了职工们的建议，并广泛征求了专家们的意见。  在这个过程中，我们始终保持严谨的态度，以确保我们能够全面理解并采纳各种观点。这样的方法不仅有助于我们更好地解决问题，还能提升我们的决策质量。 用户7393173826的微博视频 ,0,0,0,安徽,合肥,安徽,中国
2,5013556510852477,师古斋主友文,2024-03-19 08:34:42,最新第20版的大学排名中实施了有史以来最大的排名方法改进，引入了三个新的衡量标准：可持续性、就业结果和国际研究网络。  网页链接 ,0,0,1,湖南,长沙,湖南,中国
2,5012339819284283,从医行,2024-03-16 00:00:00,【文献翻译答案Day 15】《心房颤动》心房颤动（AF）是最常见的心律失常，尽管人们努力了解这种疾病的病理生理学并开发改进的治疗方法。很难确定个体房颤患者的潜在病因机制，目前的治疗效果也不理想。因此，房颤的发病率正在稳步上升，迫切需要新的治疗方法。研究表明，特定分子通路的缺陷是房颤发病机制的基础，导致电传导障碍从而诱发房颤。⭕专业词汇：Atrial fibrillation，arrhythmia，pathophysiology，pathogenesis⭕通用词汇：suboptimal，pressing从医行保研 #保研# #从医行# 保研 #医学生#,2,0,6,安徽,合肥,安徽,中国
2,5012294102943669,爱吃酸的勺勺,2024-03-15 20:58:21,从医行保研文献翻译第三期day15@从医行 《心房颤动》心房颤动(AF)是最常见的心律失常，尽管花了大量的努力了解病理生理条件和发展改进的治疗，确定单个患者房颤的潜在致病机制仍然很困难的，而且目前的治疗效果并不理想。结果，房颤的发病率正在稳步上升，迫切需要新的治疗方法。研究表明，特定分子通路的缺陷是房颤发病机制的基础，导致出现了驱动房颤的电导障碍。,0,0,0,湖南,衡阳,湖南,中国
2,5011952298102041,微彰琦谈,2024-03-14 22:20:08,经济学研究的就是如何优化资源配置，类似民营航天这样简单的机制转换即可极大提高经济性的改进措施是令人着迷的，这样的优化方法，是所有人都应该追求的目标。当然，也有很多短期无法取得经济成果的基础研究、基础设施、教育等公共产品，需要由政府资金支持，优化这个比例也是重要研究课题。,4,3,33,北京,北京,北京,中国
3,5011805038445638,纯爱的小白,2024-03-14 12:34:59,#老师总喜欢把简单的东西学术化#深有体会！这么说吧，国内文献擅用文字把内容复杂化（以区分内外行）；国外文献把内容简单化，目的就是期望各行业人才都能看懂，通过吸纳不同建议，再对研究内容和方法进行改进！ ,0,0,4,四川,成都,四川,中国
