页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5043262304028025,正义的小六,2024-06-09 07:54:55,【#人民日报评论员文章# 深化对新时代党的创新理论的理解和掌握】［#论学习贯彻党的十九届六中全会精神#］马克思主义是我们立党立国、兴党强国的根本指导思想，是我们党的灵魂和旗帜。党的十九届六中全会深入研究党坚持把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合，不断推进马克思主义中国化的百年历程，深刻指出党的百年奋斗展示了马克思主义的强大生命力，把“坚持理论创新”概括为党百年奋斗的十条历史经验之一，对于全党深化对新时代党的创新理论的理解和掌握具有重大指导意义，必将产生深远影响。 深化对新时代党的创新理论的理解和掌握,0,0,0,山西,阳泉,山西,中国
2,5043061304856765,gongan,2024-06-08 18:36:13,理论观察 | 党的纪律的基本功能和实质 网页链接 ,0,0,0,北京,,北京,中国
2,5043004876523099,上海嘉定,2024-06-08 14:52:00,【#嘉清风# ｜问责！党的领导弱化】《中国共产党问责条例》第七条第一款规定，党的领导弱化，“四个意识”不强，“两个维护”不力，党的基本理论、基本路线、基本方略没有得到有效贯彻执行，在贯彻新发展理念，推进经济建设、政治建设、文化建设、社会建设、生态文明建设中，出现重大偏差和失误，给党的事业和人民利益造成严重损失，产生恶劣影响的，应当予以问责。,0,0,0,,上海,上海,中国
2,5041871529182730,思想火炬,2024-06-05 11:48:29,【中央党史和文献研究院院务会理论学习中心组：新时代党史学习教育工作的基本遵循——深入学习贯彻《党史学习教育工作条例》】历史是一个民族、一个政党安身立命的基础。作为百年大党，中国共产党历来重视以史为鉴、开创未来，十分注重从党的历史中汲取智慧、总结经验、探寻规律、把握主动。近期，中共中央正式印发《党史学习教育工作条例》，首次以高位阶基础主干党内法规对党史学习教育工作专门作出全面规范，为深入开展党史学习教育工作提供了基本遵循。把《条例》学习好贯彻好，是当前和今后一个时期的重要政治任务。新时代党史学习教育工作的基本遵循——深入学习贯彻《党史学习教育工作条例》,3,0,10,,北京,北京,中国
2,5041871288014280,马研网,2024-06-05 11:47:31,【杨静：“两个毫不动摇”的理论构建与现实推进——基于系统观念的视角】       “两个毫不动摇”是我国社会主义初级阶段基本经济制度的重要内容，是中国特色社会主义制度优势的重要体现。立足新时代的历史方位，继续推进党的理论创新和实践中不断完善落实“两个毫不动摇”的体制机制，需要坚持系统观念。系统观念的动态性、整体性、开放性、协同性原则，为“两个毫不动摇”的理论构建提供方法遵循，形成以公平统一为根本基础、夯实共建为核心抓手、良性竞争为动力源泉、集合优势为重点突破、破局开路为发展要义的“五维一体”构架。扎实推进新时代坚持“两个毫不动摇”理论创新成果的实践应用，应打破壁垒确保公有制经济和非公有制经济统一于社会主义市场经济整体；优化结构促使公有制经济和非公有制经济始终处于高质量发展主线；激发活力助推公有制经济和非公有制经济形成集合力量。“两个毫不动摇”的理论构建与现实推进——基于系统观念的视角,3,0,2,北京,北京,北京,中国
2,5041854883562041,百姓身边事儿,2024-06-05 10:42:20,#理论微宣讲# 【学习贯彻党的二十大精神&quot;理论微宣讲&quot;市级示范团延庆区专场报告会】面对老龄化问题，北京工商大学马克思主义学院副教授张宏伟结合我国实际提出了推进全体老年人享有基本养老服务的三大方法：加大财力支持实现服务均等化，增加服务种类让老年人触手可及，全社会共同努力把老年人安顿好、照顾好。,0,0,0,,北京,北京,中国
2,5041831280906565,黄绿红de红1985,2024-06-05 09:08:33,学习党章记录（来自网络资料）党的建设必须坚决实现以下六项基本要求：第一，坚持党的基本路线。第二，坚持解放思想，实事求是，与时俱进，求真务实。第三，坚持新时代党的组织路线。第四，坚持全心全意为人民服务。第五，坚持民主集中制。第六，坚持从严管党治党。党的基本理论：基本理论是指马克思主义基本原理和马克思主义中国化成果。党的基本理论包括马克思列宁主义、毛泽东思想、邓小平理论和“三个代表”重要思想、科学发展观和习近平新时代中国特色社会主义思想。党的基本路线：基本路线是指领导和团结全国各族人民，以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗。党的基本方略：基本方略是指党的十九大政治报告提出的“十四个坚持”。1 坚持党对一切工作的领导2 坚持以人民为中心3 坚持全面深化改革4 坚持新发展理念5 坚持人民当家作主6 坚持全面依法治国7 坚持社会主义核心价值体系8 坚持在发展中保障和改善民生9 坚持人与自然和谐共生10 坚持总体国家安全观11 坚持党对人民军队的绝对领导12 坚持“一国两制”和推进祖国统一13 坚持推动构建人类命运共同体14 坚持全面从严治党,0,1,1,四川,成都,四川,中国
2,5041428995244368,中国历史研究院,2024-06-04 06:30:00,#习近平总书记论历史科学#        我们要坚持党的基本理论、基本路线、基本方略，坚定不移推进理论创新、实践创新、制度创新、文化创新以及其他各方面创新，以咬定青山不放松的执着奋力实现既定目标，以行百里者半九十的清醒不懈推进党和人民事业。       ——2021年11月11日，在党的十九届六中全会第二次全体会议上的讲话,16,4,76,,北京,北京,中国
2,5040524715622753,幸福的玉米排骨汤,2024-06-01 18:36:42,传承毛泽东思想，争做新时代青年毛泽东思想是马克思列宁主义的基本理论与中国革命具体实践相结合的产物，是马克思主义中国化的第一个重大理论成果。在新的历史条件下传承毛泽东思想，必须坚持走自己的道路，必须坚持代表最广大人民群众根本利益，必须加强改善党的自身建设。因此抓好“三个必须”是传承毛泽东，思想的着力点。传承毛泽东思想，必须坚持走自己的路。道路关乎命运，道路决定前途。一百多年来，中华民族从内悦外患，积贫积弱，到实现国家独立，人民富裕，正是党和人民历尽千辛万苦、付出各种代价取得的结果。这个结果向世人证明只有中国共产党才能救中国，只有中国特色社会主义才能发展中国。传承毛泽东思想，就要坚定不移走中国特色社会主义道路，不为任何风险所畏惧、不被任何干扰所惑，使中国特色社会主义道路越走越宽广。传承毛泽东思想，必须坚持代表最广大人民群众根本利益。我们党之所以得到人民群众的支持和拥护，从根本上说，就是因为能够始终代表中国最广大人民群众的根本利益。一切为了群众，一切依靠群众，从群众中来，到群众中去，把党的正确主张变为群众的自觉行动。不论过去、现在和将来，群众路线都是我们党的生命线和根本工作路线，是我们党永葆青春活力和战斗力的重要传家宝。传承毛泽东思想，就是要始终坚持人民群众利益高于一切，始终把人民群众的根本利益作为党全部工作的出发点和落脚点，全心全意人民服务，紧紧依靠人民、尊重人民，动员组织广大人民群众投身到党领导的伟大事业中来。传承毛泽东思想，必须加强党的自身建设。实现中华民族伟大复兴，关键在党，关键在人。我们党员干部身上肩负着光荣而艰巨的历史使命。但是同样也面临诸多挑战和风险。注重思想建党、理论强党，是我们党的鲜明特色和光荣传统。毛泽东特别注重从思想上建党，提出党员不但要在组织上入党，而且要在思想上入党，经常注意以无产阶级思想改造和克服各种非无产阶级思想。传承毛泽东思想。必须抓好党的自身建设，牢记毛泽东同志提出的“我们决不当李自成”的深刻警示，牢记“两个务必”，牢记“生于忧患，死于安乐”的古训，解决好“其兴也勃焉，其亡也忽焉”的历史性课题，增强党要管党、从严治党的自觉。“国家兴亡，匹夫有责”作为新一代的青年，更是民族的希望，祖国的未来。承载着中华民族伟大复兴的重任。身为大学生的我们，思想还是不太成熟。通过学习毛泽东思想，使我们的思想更加成熟，更加坚定，有利于我们人生观、价值观的正确发展。学习毛泽东思想，坚持党的领导路线，使我们每个大学生都应该明白的道理，作祖国未来的建设者，我们更应该坚定信念，勇往直前。努力学习文化知识，为建设中华民族美好蓝图做出自己的贡献。,0,0,0,河南,郑州,河南,中国
2,5039844319040783,忠犬小八梨6572,2024-05-30 21:33:04,#阳光信用# #每日‬一善# 党的十八大以来，以习近平同志为主要代表的中国共产党人，坚持把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合，坚持毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，深刻总结并充分运用党成立以来的历史经验，从新的实际出发，创立了习近平新时代中国特色社会主义思想。,0,0,0,河南,郑州,河南,中国
