页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5047762775704970,山西省通信管理局,2024-06-21 17:58:11,山西省信息通信行业行风建设暨纠风工作自律委员会成立为进一步强化行业内部自我约束与管理，建立和完善行业自律机制，促进行业公平健康竞争，提升行业整体形象，6月18日，山西省信息通信行业行风建设暨纠风工作自律委员会第一次会议成功召开。这是贯彻落实党的二十大精神，推动行业高质量发展的具体举措，也是深入开展党纪学习教育，回应社会关切、满足人民群众期待、站稳人民立场的有效行动。省通信管理局党组成员、纪检组长、副局长王千里出席并致辞。会议通过了《山西省信息通信行业行风建设暨纠风工作自律委员会章程》，山西联通、山西移动、山西电信、山西广电相关负责同志签署了《山西省信息通信行业行风建设暨纠风工作自律公约》并作表态发言。自律委员会由省通信行业协会召集，围绕行风纠风重点工作，建立组织机构、明确工作机制，委员会主任由4家基础电信企业相关负责同志轮值担任，对行风建设暨纠风工作中出现的问题，组织召开评议会，客观公正地进行调查核实，形成决议后提供政府主管部门决策参考，形成闭环管理机制。会议认为，近年来全省信息通信行业深入学习贯彻习近平总书记关于加强作风建设的重要论述，认真贯彻落实工信部会议精神和部署安排，持续推动行风建设和纠风工作走深走实、见行见效。开展“畅联山西 信号升格”专项行动提升用户体验，扎实做好防汛备汛及灾害应急通信保障，推动数字适老中国行（山西站）活动扬帆启航，成功举办“数智赋能 晋享未来”交流会，加快推进传统产业“智改数转网联”，逐步构建全链条反诈治理体系，展现出良好的精神风貌和工作作风。全行业要倍加珍惜、大力弘扬新风正气，以行动践行初心，以实干履行责任，真正做到心往一处想、智往一处谋、劲往一处使，构建繁荣有序、团结协作的健康生态。王千里指出，要严格落实主体责任和监督责任，持续加强党风政风建设，以党风政风带行风促纠风；对畸低价竞争、诱导携号转网、代客申诉、甚至涉嫌电信网络诈骗等问题，要强化监督执纪问责，敢于善于斗争；要持续给干事者鼓劲，为担当者撑腰。同时，充分发挥省通信行业协会联系协调作用，自律委员会要加强行业内交流互动及宣传引导，一是持续推进服务升级，打造贴“晋”民心新品牌，树立行业服务新标杆，展现良好精神风貌，为数字山西、智慧山西贡献行业力量。二是坚持目标导向、问题导向，适应不断变化的用户需求和市场趋势，让数字员工、AI应用、人机协同成为信息通信行业新质生产力。三是强化宣传引导和沟通交流，为政企、企企、企户搭建交流平台，畅通信息渠道，打破信息壁垒，化解矛盾分歧，为行业现代化建设和长远发展提供坚实支撑保障。,0,0,0,,太原,山西,中国
2,5047760929948364,牛奶是枣泥馅儿的,2024-06-21 17:50:51,到底是谁在损害党的形象，知法犯法 ,0,0,0,江苏,徐州,江苏,中国
2,5047146917396729,向青岛于瑞波局长救我,2024-06-20 01:10:59,尊敬的内蒙古宁城县人民法院院长王金明:                                               你好！       宁城县人民法院践踏法律的尊严，也是在损毁人民法院的光辉形象。宁城县人民法院工作人员脱离人民群众，离心离德，与人民群众站在对立面，不解决问题反而制造问题，不仅公然违反党的纪律，还毫无大局观念。          凭什么给我认定为证人？证明什么？证明你偏袒包庇嫌疑人？,0,0,0,陕西,西安,陕西,中国
2,5047057812816333,摄影师姚书勤,2024-06-19 19:16:55,虽然说不到北京不知道官小，一个小小副司级干部，好大的官威，这件事如果处理不好，不仅会影响到党的声誉，而且作为官员她还会影响到政府形象，另外她驾驶的使馆车辆，弄不好还会影响和损害国家的国际形象！ ,0,0,0,河南,三门峡,河南,中国
2,5047008257901597,中国反走私,2024-06-19 16:00:00,为深入开展党纪学习教育，加强缉私队伍纪律作风建设，聚焦党的“六大纪律”，以培树“严新细实快”的良好警风为重点。从2024年4月起，长春海关缉私局在全局范围内深入开展“强作风、严纪律、树形象”实践活动。#走私违法不可以# ,0,0,3,,南宁,广西,中国
2,5046961791047173,远见投资007,2024-06-19 12:55:22,官员在公众场合在手机镜头前当有素质，不能以丑陋粗鄙示人，不能撒泼，会影响党的形象。没人提及的狗被说事，显然上峰怒了，没打算轻饶，后续不大妙。 ,0,0,6,广东,广州,广东,中国
2,5046871191979266,跃动金海,2024-06-19 06:55:21,#金海资讯##“妙笔生花 萌动金海”，一起来看青少年笔下“金小萌”的故事⑤# 近期，为认真学习贯彻党的二十大精神，积极推广宣传金海街道IP形象，助力奉贤新城建设和街道高质量发展，推动打造“大美金海，世界级城市会客厅”的目标，金海街道组织开展了妙笔生花萌动金海——“金小萌”IP主题征文优秀作品展示。通过街道评审会的筛选后，我们选出了19篇优秀作品将陆续在线上进行一一展示，让我们一起见证梦想的种子在金海青少年们的笔下“发芽”，感受他们对美丽家乡的热爱和对未来美好生活的向往。网页链接,0,0,0,,上海,上海,中国
2,5046724299587647,-izyy,2024-06-18 21:11:38,接漫画睫就是大眼睛手残党的福音（工作原因对形象要求高忍痛卸美甲染黑头发，不会化眼妆斥巨资种睫毛 ,0,0,2,广东,广州,广东,中国
2,5046700446846538,Ellda,2024-06-18 19:36:52,追风者的核心立意是党的早期建设者们在被国民党反动派围剿下屹立不倒的红色信仰和革命精神，为何将红色信仰的主角形象替换成国民党反动派配角？且历经半月有余依然不做任何回复？请组委会公开正面回应！,0,0,0,浙江,绍兴,浙江,中国
2,5046559160406863,江门公安,2024-06-18 10:15:27,【党纪学习教育】什么是“形象工程”和“政绩工程”？在全党开展党纪学习教育，是加强党的纪律建设、推动全面从严治党向纵深发展的重要举措。为高质量开展党纪学习教育，深入学习贯彻新修订的《中国共产党纪律处分条例》，省纪委监委宣传部、案件审理室联合南方日报、南方+推出“条例问答”栏目，对党员、干部关心关注的一批纪法问题进行解读，引导广大党员、干部学纪、知纪、明纪、守纪，切实把党纪学习教育成果转化为广东高质量发展、现代化建设的生动实践。敬请关注。【党纪学习教育】什么是“形象工程”和“政绩工程”？,0,0,0,,江门,广东,中国
3,5045422291419664,中医妇儿林波,2024-06-15 06:57:56,国内火点密布，人民疲于奔命，基层怨声载道，即损害了党的形象，又离间了人民群众和党的关系。//@用户5624288975:防控第九版由14+7，改为7+3，一切其实就已经不可挽回了，说明敌人已经完全占据了指挥部，根本不用等到放开的那天，彻底放开是必然的了。,12,8,37,广东,深圳,广东,中国
3,5045510761088655,用户7332276578,2024-06-15 12:49:29,《规划纲要》是在我国发展进入新时代的重要历史背景下制定的。在这个背景下，正风肃纪显得尤为重要。只有通过正风肃纪，才能确保党的纪律得到严格执行，党的纯洁性得到保持，党的形象得到提升。 正风肃纪，即端正风气，严肃纪律。其内涵在于通过严格的纪律约束，确保党的干部队伍的纯洁性和党的工作的有效性。其重要性在于，正风肃纪是党的建设的永恒主题，是党的工作的生命线。  《规划纲要》提出了多项具体措施，如加强党的纪律建设，严明党的纪律，强化党的纪律执行，坚决查处违纪违法行为等。这些措施的提出，旨在确保党的纪律得到严格执行，党的干部队伍的纯洁性得到保持，虽然《规划纲要》提出了多项措施，但在实际执行中，仍存在一些问题。如一些党的干部对党的纪律认识不足，执行不力；一些党的组织对党的纪律监督不力，导致一些违纪违法行为得不到及时查处等。 正风肃纪是党的建设的永恒主题，是党的工作的生命线。《规划纲要》的发布，强调了正风肃纪的重要性，提出了具体措施。只有通过正风肃纪，才能确保党的纪律得到严格执行，党的纯洁性得到保持，党的形象得到提升。因此，我们必须认真贯彻落实《规划纲要》的精神，全面推进正风肃纪工作，为我国的发展做出更大的贡献。,0,0,0,陕西,延安,陕西,中国
3,5045187867050944,收藏影,2024-06-14 15:26:25,大四女学生实名举报！湖南一学院党总支书记性骚扰！  我不会忍气吞声，不然他会祸害更多女生！  网友：书记？严重破坏党的形象 收藏影的微博视频 ,0,4,117,山东,威海,山东,中国
