页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4724818417814423,中国教育报,2022-01-12 14:12:36,【科学评价助力普通高中高质量发展】#中教君评论# 日前，教育部印发《普通高中学校办学质量评价指南》（以下简称《评价指南》），为科学评价普通高中办学质量和办学成效，助力普通高中高质量发展提供了有力的政策保障。    深入准确理解科学评价的政策精神是落实好《评价指南》的第一步。通过科学评价，促进普通高中高质量发展，瞄准了教育发展不平衡不充分的重要方面。“科学评价”不仅直指“不科学的教育评价导向”的各种表现，更是缓解教育焦虑、办人民满意教育的内在要求。在脱贫攻坚取得决定性胜利、全面建成小康社会之后，我国已踏上实现第二个百年奋斗目标的新征程。推动高质量发展，必须立足新发展阶段。高质量教育体系的建设是高质量社会事业发展的重要方面，高质量的普通高中发展是高质量教育体系的必要组成部分，高质量的内涵发展必然成为高中发展的内在要求。    坚持正确教育政绩观和科学教育质量观是落实好《评价指南》的核心举措。如果说教育评价是教育发展改革的牛鼻子，那么党政部门负责人的教育政绩观和教育质量观就是牵引牛鼻子的那根绳。《评价指南》提出，“坚决克服单纯以考试成绩或升学率评价学校办学质量的倾向”，在具体评价指标中要求，“正确处理考试升学与发展素质教育的关系，将高考升学率作为全面实施素质教育的客观结果之一”，且不得把高考升学率与教师专业发展、学校办学成效评价和相应的政策投入挂钩，这对没有高考升学优势的普通高中的校长、教师来说是重大利好政策，他们可以更加理直气壮地投入到教育教学改革实践中去。    方式优化，灵活运用各类评级方法，分类开展针对性强的有效评价，这为落实好《评价指南》提供了明确的路径遵循。结果评价和增值评价、综合评价和特色评价、外部评价和自我评价、线上评价和线下评价，《评价指南》所列的四对八类评价方法，在实践中可以灵活组成多种具体评价工具和评价方式，其目的是坚持“科学评价”，以发展素质教育为导向、坚持立德树人教育根本标准，注重发展学生核心素养。比如在浙江，自2011年以来推动普通高中特色示范学校的建设，以区域为政策单位，实施高中学校分类办学分配教育资源的运行机制。为试点的特色示范学校开展特色课程的开发、设备添置、教师交流、学生活动等提供经费投入和政策支持。其特色评价正是运用了丰富的综合评价性操作指标，有利于推动高中教育整体上从分层办学逐步走向分类办学。    以评促建，运用办学质量评价结果改进高中学校教育教学和地方教育管理工作，是落实《评价指南》的主要政策目标。“以评促建”作为四大基本原则之一写入《评价指南》，这是要着重凸显评价结果的科学运用，是为了“有效发挥引导、诊断、改进、激励功能”，办好每一所学校，促进普通高中多样化有特色发展。把“将办学理念和特色发展目标融入学校管理、课程建设、学生发展、教师发展和校园文化建设等方面，努力办出学校特色”作为重要考察要点，就是要引导义务教育学校加强学生综合素质培养，促进学生能够理性选择适合自身成长发展的高中学校，从而缓解义务教育学生升学压力，减轻过重课业负担。正如高等教育改革直接影响高中教育改革成效一样，高中教育改革也将直接影响义务教育阶段学生及其家长的校内外学习行为和教育选择。科学评价普通高中办学质量，有利于进一步缓解教育焦虑，构建良好基础教育生态。（作者：周秀平 系北京师范大学中国教育政策研究院副教授）,0,0,0,,,,
2,4675099824752121,年少如花儿儿儿儿儿,2021-08-28 09:28:40,#星火英语四六级过级包# #星火英语虐耳班# ①withdraw②in favor of③inadequate educational background ④insufficient  一些父母为了让他们的孩子得到满意的教育而让他们的孩子离开学校而支持具有不充分的教育背景和不足的正式训练的家庭教育。,0,0,0,,,,
2,4675087439234887,努力考级考证,2021-08-28 08:39:27,@是雯雯老师啊 #星火英语四六级过级包# #星火英语虐耳班# withdraw，and favor of，inadequate educational background ，insufficient 一些让他们的孩子辍学，并支持家庭教育的父母，为他们的孩子提供一个满意的教育来说，他们有着不充分的教育背景和缺乏正式的训练。,0,0,0,,,,
2,4643356846063624,深圳宁南山,2021-06-01 19:13:23,【先解决这两座“大山”，我们再来谈生不生“三孩”】 三孩生育政策一出，关于配套措施的讨论也非常多。网友讨论最多的是房价和教育问题。前者对应“发展不平衡”，后者对应“发展不充分”。如何落实好这个两个配套设施呢？#生三胎配套支持措施是什么##v光计划# 深圳宁南山的微博视频 ,292,340,896,,,,
2,4616877173113658,梅州电台FM,2021-03-20 17:32:38,【嘉应学院获4774万元资金支持“冲补强”】 昨天（3月19日），广东省教育厅公示了《2021年高等教育“冲一流、补短板、强特色”提升计划资金安排方案》，拟安排23.1亿元支持34所公办本科高考切实解决广东高等教育发展不平衡不充分问题，其中，嘉应学院4774万元。 ,0,0,0,,,,
2,4612573045984052,郑州市教育局,2021-03-08 20:29:34,【卢克平代表建议：#建议加大对中西部高校支持力度#】#两会谈教育# “当前我国社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。这种矛盾体现在高等教育领域，主要表现为不同地区的高等教育发展不均衡、不充分。”全国人大代表、河南大学党委书记卢克平表示，中西部高等教育相对落后，与东部地区相比存在较大差距。即便是中西部地区，不同省份的高等教育发展也不均衡。卢克平指出，目前中西部高校发展水平仍远低于全国平均水平，特别是优质教育资源稀缺，支撑区域经济发展的能力明显不足。“受经济社会发展水平、高校自身实力等影响，中西部高校普遍存在经费投入不足、办学条件薄弱、高层次人才规模偏小、人才吸引力差、布局不合理、整体实力不强等问题，国家重点学科数量、科技创新平台和研究生招生规模等与东部高校相比，也有较大差距。”“中西部高等教育是我国高等教育的重要组成部分。没有中西部高等教育的现代化，就不可能有我国整体高等教育的现代化，就不可能实现高等教育强国的目标。”为发展更加公平更高质量的教育，卢克平提出建议：一是加大对中西部高校支持力度，推动高等教育均衡化发展。建议教育部针对中西部高校的现有层次以及发展成绩，进行分类管理、分类资助和分类指导，在政策支持、资金投入、学位点建设、博士研究生指标分配、人才资源及平台建设等方面，继续加大向中部高校倾斜力度。二是推动东部高等教育发达地区结对帮扶中西部高校。建议在国家层面建立高等教育结对帮扶协调机制，推进高等教育资源向中西部地区流动，促进东部高水平大学对口支援中西部地区高校工作，发挥东部发达地区高等教育的辐射带动作用。中国教育报北京3月8日讯（记者 刘琴）,0,0,5,,,,
2,4604283545191762,书生剑走江湖,2021-02-13 23:30:02,中国应该搞#新三线建设#，要不然产业与就业过分集中十几个大城市，不仅这些大城市压力与风险巨大（如教育、医疗、养老、住房等资源都将更加紧张），地区不充分不平衡发展就更严重。中国搞#新三线建设#，对新三线地区进行政策倾斜，并支持企业前往中西部或省内欠发达地区投资，实现均衡发展，这样#经济内循环#才能真正循环起来。,1,6,1,,,,
3,4481410599116153,黑猫与兔仔,2020-03-11 21:56:49,其实男性需要寻找几个女性才能确定一个伴侣的行为很好理解，一方面是男性狩猎本能，一方面也是适龄女性接受到的教育不充分，很难在适婚年龄就自我成就为一个能给到优质男性稳定、持续滋养和支持的原型女性，网骗模式很难观照到亲密关系里的真实身心互动。国产电视剧小说套路过时，专家教学理论死板，总结完毕,0,0,0,,,,
3,4452627816990927,吉言家的老板娘,2019-12-23 11:44:20,今天清迈教育部门的领导来学校验收&quot;幼儿园校舍&quot;，我们的幼儿园得到东南亚多处华德福教育机构的支持，可以说是所有家长和教育人士的希望。关于有国内家长资源暑期插班的事，我今天问了校长，目前学校还暂时没有准备接收中国孩子插班，主要是学校准备不充分，担心语言问题。#带着微博去旅行# 泰国·清迈,0,0,1,,,,
3,4405656725501922,承诺在东京的牵手的约定,2019-08-15 20:57:58,#香港是中国的香港#一直都好好的，为什么要闹成这样呢？这样子无谓的示威甚至暴力，最终危害的只有香港自己，真是搞不懂。若不是有广大无脑的废青参与支持，背后想要搞事的势力能蹦跶得起来吗？所以说还是由于香港人的爱国意识不强，从小的爱国教育培养不充分，这件事情结束后，应该加大对香港人的爱国意识的培养。,0,0,2,,,,
3,4348949944691800,中原网,2019-03-12 09:25:29,#全国两会#【全国人大代表卢克平：建议给河南高等教育更多支持】卢克平说，高等教育发展不均衡、不充分，中西部高等教育发展水平整体比东部地区落后了5~10年，这不仅体现在教学水平、科研水平、社会服务水平上，也体现在办学治校水平、发展保障条件等方面。多年来，教育部、发展改革委、财政部等部委对中西部高等教育十分重视，给予河南许多关心支持。“这种帮助弥足珍贵，希望今后能给予河南更多的指导、关注和支持。”针对加快“双一流”建设，推动高等教育高质量内涵式发展，卢克平提出4点建议&gt;&gt;全国人大代表卢克平：建议给河南高等教育更多支持,1,1,6,,,,
