页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5045585344205940,Imerance-聆雪湫弦,2024-06-15 17:45:51,鞠婧祎jjy#鞠婧祎姜黎非# jjy#鞠婧祎千香# jjy#鞠婧祎努力有收获最开心#   喜欢你就像坚持党的基本路线，百年不移，永不言弃。  @鞠婧祎 ,0,0,0,福建,宁德,福建,中国
2,5045437909959793,北京市鼓楼中医医院,2024-06-15 08:00:00,党纪学习教育 | 组织纪律是什么，违反组织纪律的行为有哪些？组织纪律是规范和处理党的各级组织之间，党组织和党员之间以及党员与党员之间关系的行为规则，是维护党的集中统一、保持党的战斗力的基本条件，其本质要求是坚持民主集中制，贯彻落实新时代党的组织路线。违反组织纪律的行为主要包括以下几类：违反民主集中制原则；不落实组织决定；不按规定说明和报告；搞非组织活动；违规选任干部；违规谋取人事利益；侵犯党员权利；违规发展党员；违反出国（境）管理规定等。新修订的《中国共产党纪律处分条例》第七章“对违反组织纪律行为的处分”共17条，增写2条，修改7条。新增第八十条，对在党组织纪律审查中，依法依规负有作证义务的党员拒绝作证或者故意提供虚假情况，达到情节较重或者情节严重程度的，给予警告、严重警告直至开除党籍的处分；新增第八十五条，明确规定在推进领导干部能上能下工作中搞好人主义，存在以党纪政务等处分规避组织调整、以组织调整代替党纪政务等处分或者其他避重就轻作出处理行为的，视情节给予相应处分。在第八十六条增写对在授予学术称号中弄虚作假、违规谋利行为的处分规定，促进营造识才爱才敬才用才的良好氛围，为推动创新人才评价机制提供纪律保障；在第九十一条对党员虽经批准因私出国（境）但存在超出批准范围的行为作出处分规定；等等。@健康中国 @健康伴您同行 @首都健康 @文明东城 @北京东城 @北京12320在聆听@文明鼓楼张婧庭,0,0,0,,北京,北京,中国
2,5044414597304467,说教师,2024-06-12 12:13:43,党的十七大修改了党章，关于党在社会主义初级阶段的基本路线，增加的内容是（   ）。  #教育与社会发展##教师招聘考试##教育学#   网页链接 ,2,1,32,安徽,合肥,安徽,中国
2,5044392072839410,草原乳城塞北,2024-06-12 10:44:12,【张家口市党员和公职人员抵制网络谣言八项守则】1.严守政治纪律和政治规矩，维护党中央权威，与党中央保持高度一致。2.遵守党规党纪和国家法律法规，坚持正确的政治方向，积极传播党的理论和路线方针政策，践行社会主义核心价值观。3.不参与、不发布违背党的基本路线、否定四项基本原则、歪曲党的政策等有严重政治问题的文章、演说、宣言、声明等。4.不妄议中央大政方针，不破坏党的集中统一，不丑化党和国家形象，不诋毁、污蔑党和国家领导人。5.不制造、传播各类谣言，尤其是政治类谣言，不散布所谓“内部”消息和小道消息。6.不参与反对党的理论和路线方针政策的网络论坛、群组、直播等活动。7.在网络平台上以职务身份注册账号时，应向所在党组织报告。8.履行举报监督义务，发现违法违规违纪信息或传播活动时，应及时向网信部门或公安机关举报。,0,0,0,,张家口,河北,中国
2,5044147540463304,老八路求助记,2024-06-11 18:32:32,为人民服务要持之以恒，让人民放心要拿出行动！    整整十年来，湖北省委、湖北省人民政府四任领导都没有把党的政治路线与老红军的基本人权放在党的领导工作首要位置。十年来，他们从不认为抛弃老红军刘用光的组织人事权力和平等待遇权力是政治错误，是严重的政治错误！十年来，他们默认现状就是他们的政治立场和政治观点的展现。  十年来，在他们的执政理念中已经抛弃了马克思主义、毛泽东思想的政治理论基础，彻底偏离了中国共产党的正确的政治路线、正确的组织路线和正确的思想路线，这已经到了最危险的时刻！ 起来，党纪和囯法的尊严； 起来，党纪和国法的使命； 不要做高官与权势的奴隶，要为真理而斗争！ 面对不法高官要勇敢“亮剑”； 面对违纪高官要敢于“亮剑”！ 为人民服务要持之以恒，让人民放心要拿出行动！ 杨汉军是政治上腐败的典型，是怎么获得中组部给予“全国优秀组织工作干部”称 号？ 杨汉军在其办公室发病、送医院抢救无效后死亡，这是怎样演变成“因公牺牲”的？ 又是怎样成为“革命烈士”？有权也不能这样“疯狂”！,1,1,0,山西,晋中,山西,中国
2,5044003458253722,首都专家微博群,2024-06-11 09:00:00,#宣讲家评论# 【坚持实事求是的思想路线】习近平总书记指出：“实事求是，是马克思主义的根本观点，是中国共产党人认识世界、改造世界的根本要求，是我们党的基本思想方法、工作方法、领导方法。”实事求是作为党的思想路线，始终是马克思主义中国化理论成果的精髓和灵魂，是我们党始终坚持的根本思想方法，是我们党一切工作必须遵循的重要原则。网页链接,0,0,1,,北京,北京,中国
2,5042970639993183,宝狮龙观天下,2024-06-08 12:35:57,【老报纸·1976年11月1日《陕西日报》 】        “四人帮”是地地道道的反革命的修正主义分子，是一伙资产阶级阴谋家、野心家，是党内资产阶级的典型代表，是不肯悔改的正在走的走资派。他们的罪恶目的，是要从根本上改变我们党的无产阶级性质，改变党在整个社会主义历史阶段的基本路线，复辟资本主义。他们搞的是一条反革命的修正主义路线，是一条极右的路线。,15,17,59,陕西,西安,陕西,中国
2,5043085226806739,昭通市生态环境局,2024-06-08 20:11:17,【党纪学习教育·每日一课丨组织纪律是什么，违反组织纪律的行为有哪些？】组织纪律是规范和处理党的各级组织之间，党组织和党员之间以及党员与党员之间关系的行为规则，是维护党的集中统一、保持党的战斗力的基本条件，其本质要求是坚持民主集中制，贯彻落实新时代党的组织路线。 党纪学习教育·每日一课丨组织纪律是什么，违反组织纪律的行为有哪些？,0,0,0,,昭通,云南,中国
2,5043047300074496,草原书怀-财经讯息,2024-06-08 17:40:34,#转发# 【周向军：毛泽东群众路线思想及其创造性运用和发展】在领导中国革命和建设的漫长历史征程中，毛泽东在科学运用马克思主义群众史观的基本原理，充分汲取中华优秀传统文化的民本思想精华，深刻总结中国革命经验教训的基础上，形成了内涵丰富、逻辑严整、体系完备的群众路线思想。党的十八大以来，习近平结合新的时代条件和发展要求，从理论与实践相结合的维度对毛泽东群众路线思想进行了创造性地运用和发展，夯实了党的群众路线的理论根基，提升了全党同志坚持和践行党的群众路线的政治自觉、思想自觉和行动自觉，取得了党的群众路线教育实践活动等党内集中教育的巨大成效，推动了党的群众路线在新时代落地生根、深入人心。这启示我们，将毛泽东群众路线思想进一步发扬光大，必须坚持守正与创新相统一、历史与现实相对接、理论与实践相结合、批判与建构相统一。（思想火炬）周向军：毛泽东群众路线思想及其创造性运用和发展,0,0,0,内蒙古,呼和浩特,内蒙古,中国
2,5043004876523099,上海嘉定,2024-06-08 14:52:00,【#嘉清风# ｜问责！党的领导弱化】《中国共产党问责条例》第七条第一款规定，党的领导弱化，“四个意识”不强，“两个维护”不力，党的基本理论、基本路线、基本方略没有得到有效贯彻执行，在贯彻新发展理念，推进经济建设、政治建设、文化建设、社会建设、生态文明建设中，出现重大偏差和失误，给党的事业和人民利益造成严重损失，产生恶劣影响的，应当予以问责。,0,0,0,,上海,上海,中国
