页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4937123540502676,中国心理学家大会,2023-08-21 10:37:22,#十七届中国心理学家大会# 线上专场，西安交通大学人文社会科学学院副教授丁晓军围绕哲学咨询的兴起与发展，展开阐述了哲学咨询与哲学治疗两大概念。从哲学研究来看，大部分普通人只要对人生有困惑或沉思，都可以寻求哲学家的帮助。与心理学不同的是，哲学帮助的都是没有躯体化障碍的普通人，可以称之为来访的“思想医生”。丁晓军博士也为我们展示了哲学的不同模式在日常生活中的践行，有以对象人数的分类的个体“哲学咨询”，也有群体间导引及哲学工作坊和哲学咖啡馆。前者强调的是一对一对谈，后者强调的是有哲学家作为引导者，是一种人机交互和开放式的对话，秉承的是更加开放的学术精神和态度。丁晓军博士提及，其实哲学和心理学也有类似的地方，都可以帮助大家解决和面对问题，例如一些中年危机、家庭、生命终结、价值观等问题。她认为，哲学或许并不能快速直接解决大多数问题，但其所提供的慰藉功能是不容我们忽视的。中国叙事疗法奠基人李明教授则围绕哲学家和心理学不同时代的思想变迁，肯定了现代哲学家和心理学家的转变。他认为不管是哲学家还是心理学家，在过去都是更关注于自己的研究与发展，而忽略普罗大众的需求，就现代而言，心理学家和哲学家已经开始探索大众需求，并为他人解决难题。李明教授认为，从严格意义上来说，心理学是依附于哲学而生的，是哲学研究和沉思。从某种角度来说，人人都可以是心理学家和哲学家，每个人每天都会蹦出这样或那样的奇思妙想，这个时候哲学的思想定位就变得极为重要，因为哲学的出现，可以防止某些所谓的“哲学家”或“心理学家”将积累知识或想法成为智慧的障碍。由此看出，哲学存在的价值在于帮助人们更加严谨和沉浸地思考，强调的是探索路径的过程，而非结论。在当今移动互联网信息爆炸时代，观点太多，现代人知道的越来越多，思考却越来越少，由此而产生的虚空焦虑，导致大部分人心灵无所依托。李明教授表示，他希望有更多的人将中国哲学中让人能够安顿的观点传播和发扬出来，以此和心理学相结合，让无所依的人有所依有所想。最后，在主持人的访谈中，两位老师展开了激烈的谈论，从哲学、心理学以及日常生活应用方面深入剖析了不同学术领域对于大众的深远影响。,1,0,1,北京,北京,北京,中国
2,4923196396542981,里克曼Leekman,2023-07-14 00:15:52,我们生活在互联网时代。不知道从什么开始我就像海绵一样吸收网络各种信息我来着不拒，大脑大快朵颐，我的好奇心就像海绵一样。各种信息，词条，言论，概念，价值，观念。根本原因是我就是那种现实生活充满困惑的青少年。我只是想要得到一些像自然科学教科书那样让人镇定又客观答案。经过十多年的碰撞和沉淀。现在的我回顾过去，会有一个看法：互联网诞生几十年后的现在，大多数人都生活在前现代主义，现代主义和后现代主义混合的元素汤里。努力充实生活，做一直从这锅汤里爬出来的螃蟹。所以我羡慕你的生活。,0,0,0,河南,,河南,中国
2,4903170617378552,中科英才学术科研,2023-05-19 18:00:34,科学研究是一项系统性的活动，涉及许多专业术语和概念。对于初涉及科研的小白来说，这些术语可能会让人感到困惑和不知所措。  今天！英才君就来带你解析那些常见的科研名词！  科研 #研究生# 大学生 #期刊论文# #毕业论文#  中科英才｜常见科研名词解析手册 ,0,1,0,北京,北京,北京,中国
2,4898704677145554,海流鸣,2023-05-07 10:14:31,NO.1732科学是难解的哲学是晦涩的，可是总会有那么一把钥匙，出现在锁想打开的那刻，巧合得让人莫衷一是。我也产生出新的困惑，到底有没有神秘的力量，在一直主宰着繁盛与衰落，把世间的万物玩于股掌之上。便不停地问什么是冥冥之中，轮回的概念是否凭空捏造，神仙们可来无影去无踪，欲只让凡人产生苦恼。虽然知道我若一思考，就会有人忍不住地发笑。 沧州,0,2,4,河北,沧州,河北,中国
2,4836727796271159,倪明辉,2022-11-17 09:40:31,每年11月17日都是世界早产日，回想11年前孩子出生的那一刻，很多场景历历在目，如何才能让更多的早产儿家庭不再焦虑和困惑，如何才能让每一位父母都能轻松养育，为此我们奋斗了十年时间，大量的科普宣教、专家互动、院内合作，就希望能把科学养育及正确早期干预的概念传播给大家。今年的早产日主题是“提倡肌肤接触，促进早产儿健康发展”，祝愿每一位早产儿能可以健康发展，快乐成长。#早到的精彩##被小朋友努力追赶的样子戳到了#,1,2,3,上海,上海,上海,中国
2,4836404263650575,沈嘉柯,2022-11-16 12:14:54,一直很困惑，时空伴随这概念到底有什么科学依据？问了不少人没问出所以然。果然，这名词就是个有问题的加码搞法。,0,2,8,湖北,武汉,湖北,中国
2,4823183955331417,MangyPoodle,2022-10-11 00:42:08,什么是梦想，可能很多人都有这个问题给自己。我也问自己 小时候开始梦想这个概念环绕着我，科学家，长大之后想医生警察，我还是困惑我的梦想就是什么 经历了很多现实的磨难，我想来想去在今天我才明白，我的梦想是给dy做狗 ,1,2,0,山东,威海,山东,中国
2,4813117517726383,奥派经济学读书群,2022-09-13 06:01:42,社会科学在以概念的严密来力求明确定义的和可证明的体系这一意义上说，它是精确的。争论是否应该在社会学，特别是经济学中用数学形式来表述是无聊的。包括经济学在内的社会学所有分支中所遇到的问题都呈现出这样的极度的困难：在许多人眼中，甚至最令人困惑的数学问题都具有较易于具体化的优点。 ,0,0,2,辽宁,沈阳,辽宁,中国
2,4793674280469195,生态浦东,2022-07-21 14:21:13,【2022浦东辐射安全宣传有奖竞答开启！快来参加吧~】随着基础科学的普及以及网络信息交流的迅速发展，人们越来越多地接触到“辐射”这一概念。然而，在互联网上流传的不少有关辐射的科普，在讲解之前往往并没有将辐射的概念理清，给读者造成了较大的误解或困惑，因为缺乏对辐射的了解对辐射充满恐惧，谈“辐”色变，甚至一些关于辐射的谣言甚嚣尘上，一些关于辐射的营销陷阱屡见不鲜。用科学武装辐射“反诈”力量，就看这篇！扫描二维码进入知识竞赛，看完科普参加知识竞赛胜算更高哦~,0,0,0,,上海,上海,中国
3,4785749695662197,用户5165542510,2022-06-29 17:31:45,从昨天到今天我又困惑了。昨晚看了台大校长李嗣涔的一段话，他说杨定一博士，在十年前就提出了一个科学上的词叫绕场，他在十年后才明白了这个概念，他说杨定一博士绝顶聪明。由此我联想到连台大校长李嗣涔都佩服的人，我听不懂他的话又有什么难理解的呢？对杨定一博士我绝对信任，他既有名又有利，他不需要哗众取宠来糊弄大家，他讲的法我不懂只能是我智慧太浅。一次不懂，就再看，多看，慢慢也会懂一点的。他总讲一句没有方法的方法，我想他所说的也就是佛所讲的，几十年他没说过一句经，只因众生愚钝，他勉为其难的讲打坐，讲完了又说打坐也没有用，搞得人糊里糊涂，到底该怎么做呀？我想他是让大家去悟。这次宝珠师兄去参加共修，据说开悟了，由此我想起了叶曼老师，南怀瑾老师，南怀瑾老师的弟子张尚德，还有虚云和尚，广欽老和尚等好像都是在禅七时开的悟，我在想是不是密集的禅修能让人放下万缘，只考虑一件事就容易开悟呢？杨定一博士也讲，气脉修成了还会坏，随着年老体衰，气脉也会再堵上，记得广欽老和尚在老年时只念佛号，南怀瑾老师去拜访他时问过他现在还能入定吗？他说弘法忙，其实可能是年老气力跟不上了。究竟该怎么修呢？,0,1,4,北京,,北京,中国
