页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023007334204054,复旦大学,2024-04-14 10:28:54,#复旦·科研新动态# 【复旦上医许杰团队发现CD3L1免疫检查点，为肿瘤治疗带来新突破】2024年4月12日23时，复旦大学生物医学研究院许杰团队在《细胞》（Cell）杂志发表题为ITPRIPL1 binds CD3ε to impede T-cell activation and enable tumor immune evasion的研究论文，发现CD3的首个配体CD3L1（或 ITPRIPL1），揭示了CD3L1在肿瘤免疫逃逸与睾丸免疫豁免中的关键作用。这是肿瘤免疫治疗的全新靶点CD3L1抗体首次被报道，有望为肿瘤免疫治疗带来新的突破。据介绍，复旦大学在项目早期阶段就积极投入，致力于核心专利的打造，稳妥推进知识产权向创新药物研发企业的授权转让，为项目的顺利融资、临床前与临床研究的推进奠定了坚实的基础，在生物医药领域“从0到1”的靶点级别原始创新方面迈出了坚实的步伐。这一成果的取得，将有望为肿瘤免疫治疗领域带来新的希望，为更多患者带来福音。（来源｜生物医学研究院、医学宣传部）,3,0,25,上海,,上海,中国
2,5023200997802003,闲坐听落花,2024-04-14 23:18:26,超级IP的头部效应，让公司的结构从个人围绕公司，变成了公司围绕个人。怎么办？打下来。要么闷声发大财，做到一定体量以后，自我设限，就像三体里的“黑域”，做好安全声明。要么带徒弟，做矩阵，先富带后富，完成流量和财富的分散，保持动态平衡与稳定。再要么向上研究品牌和供应链，通过人格IP向产品和企业IP的转化，分散风险，解决“人设”容易崩的问题。需要做什么样的风险防护，支出多少的隐性成本，会逐步成为可量化的潜规则。也会因为这些规则，利润会分散给各级决策者，完成新的生态平衡。没有漏网之鱼。除非，做好标记，捞起了还会被渔夫放回海里。,0,0,0,辽宁,抚顺,辽宁,中国
2,5023023570358272,不是郑小康,2024-04-14 11:33:25,发一条旧闻。  蔚来乙鹏：基于对于人形机器人本身的思考和认识，蔚来汽车在 2023 年组建了一个人形机器人「战队」。主要关注人形机器人的底层技术，包括算法、动态感知、大模型，并进行了一些研究。同时，我们推动人形机器人在汽车制造领域的应用和推广。 ,3,5,9,上海,上海,上海,中国
2,5023188193644075,麦酥SUE,2024-04-14 22:27:34,宇宙是一我也是其中的一个粒子。最近研究量子力学，在深夜时段看得后背发凉。宇宙没有最小的积木，只有或然率，或是粒子的舞蹈，一种不断运动的能量体，无法同时观测它的位置与速度。动态的可能性就是宇宙的本质，这个概念震撼了我。不知道这个力量从何而来，也许是大爆炸，但那一瞬间，如果有上帝的话，他一定希望我们能一直运动下去，存在下去。也许我身体里面也有很多粒子，它们跟随着我的意识去往不同的地方，引发新的事件与结果。我高兴，它们就会让好事发生；不高兴，整个世界就会变得阴郁。我释放着自己的情绪就像释放着虚粒子，去试探周围，看看是否会跟其他的粒子合成一个新的粒子。我看不见，可是它们存在，用它们自己的“生命形式”。霍金的《时间简史》 和富有哲思的特德姜的科幻小说一样好看。现实与虚构一样伟大。我正在和宇宙的每一个部分都连接在一起。但不妨碍人还是会emo的。上学的时候我是物理课代表。但我不喜欢数学。所以我没成为科学家，而成为了一个思想者。 北京·红砖美术馆,0,0,4,北京,北京,北京,中国
2,5023169002080780,日本龟田综合医院,2024-04-14 21:11:19,【日本医疗仪器研究动态-世界首次】近期，大阪大学等联合研究团队成功研发出一种无需镜头、由直径仅为0.1毫米的单根光纤组成的内视镜，利用该内视镜，可深入患者体内直接观察病情，这在临床实践中尤为重要，基于此，团队还要研发血管内超低侵袭3D导航系统。 ,2,1,2,日本,,日本,日本
2,5023106330528073,国科大图书馆,2024-04-14 17:02:17,APS出版的物理评论系列期刊：Physical Review X、Physical Review Letters、Reviews of Modern Physics，分别是各专业领域最受尊重、被引用次数最多的科技期刊之一，在全球物理学界及相关学科领域的研究者中具有极高的声望。#中国科学院大学##中国科学院大学图书馆##资源动态# 网页链接 ,1,0,1,北京,北京,北京,中国
2,5023104262737076,江南大学,2024-04-14 16:54:04,江南大学#江南动态# 【打破垄断！#江南大学研发出可降解手术缝合线#】可降解手术缝合线，不仅可以有效止血，还能在人体内转化为代谢产物，最终被排出体外。我校一支科研团队对微生物细胞工厂利用秸秆水解液合成乙醇酸开展深入研究，近期取得突破性进展。这一研究成果，有望实现可降解手术缝合线的主要材料——聚乙醇酸单体的国产化。相关研究成果，日前发表在国际期刊《生物资源技术》上。无锡·江南大学 江苏新闻的微博视频,2,2,3,江苏,无锡,江苏,中国
2,5023094533784875,哈勃观察员,2024-04-14 16:15:24,Science刊文：大质量恒星的磁场可通过双星合并获得！多数恒星的磁场（包括太阳的磁场）都源自对流层，而大质量恒星（形成时的质量大于等于八倍太阳质量）并没有对流层，却有7%的大质量恒星具有磁场，这一直困扰着科学家。4月11日，一项最近发表在Science上的研究中，天文学家发现大质量恒星双星系统HD 148937最初可能有三颗恒星，其中两颗并合后产生了具有磁性的大质量恒星。双星系统中的两颗恒星通常非常相似，就像双胞胎一样，但在距地球3800光年外的HD 148937却很奇特：质量更大的一颗恒星具有磁性，且似乎比另一颗恒星至少年轻150万岁，而双星周围的星云NGC 6164/6165看上去比两颗恒星年轻数百倍。为了揭开这个谜团，研究团队分析了ESO的观测数据，推测这个系统最初至少有三颗恒星，其中两颗在轨道上较为靠近，而另一颗距离远得多。两颗恒星在经历了暴烈的并合过程后，形成了一颗磁星，并抛出了一些物质，形成了星云，最终新生的磁星和原系统中更远的恒星绕新轨道运转，形成了如今在星云中心观测到的双星。此前，天文学家一直怀疑大质量恒星并合会导致新生恒星获得磁场，这项研究第一次提供了直接的观测证据。研究人员表示，HD 148937中磁星经历的并合应该是最近发生的，与恒星寿命相比，大质量恒星的磁性通常不会持续很久，研究人员似乎在这一罕见事件发生后不久就观测到了。#热门微博##科研动态##大质量恒星##天文航天#,4,1,8,广东,深圳,广东,中国
2,5023093921417749,青臣扎皮研究所,2024-04-14 16:12:58,▪️青臣播报4.14➤Tattoo｜青臣扎皮研究所 可以留意下↓此话题更新的动态#青臣刺青每日风格分享#  ꙳✧˖°推荐不同风格的意义在于助你们找到更适合自己的风格不局限于.你被限制下.所能看到的风格-🖇愿你找到～最能表达和展现你自己的形式🫧  可定制可设计也尊重原创#纹身设计 ##纹身设计定制##无锡刺青#,0,0,0,江苏,无锡,江苏,中国
3,5023064212898674,nauhiyy,2024-04-14 14:14:55,毕业了，你还是会跟和你研究生不同校拥有不同生活轨迹的人做朋友给她点赞，我发过那么多条动态，你说过一句话吗？ ,0,2,0,福建,莆田,福建,中国
