页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022526218700182,桃桃子枫阿,2024-04-13 02:37:07,小学教育论文帮助不论选题，还是写提纲，都必须要做的就是查找大量的文献，这样你才可以找到自己要写作的方向和思路，做到“心里有数”。而小学教育论文的核心就是“发现问题、分析问题、解决问题”（⚡）整个提纲🉑参考：摘要一、绪论（引言、前言）二、发现问题四、问题存在的原因五、提出教育建议三、结论参考文献#小学教育##小学教育论文##教育学#,0,1,0,河北,张家口,河北,中国
2,5022411179426776,中图网官方微博,2024-04-12 19:00:00,#荐书# 《美国大学写作与研究》#每满100减50 ，满108送五指山印章# 是美国大学的经典写作教材Writing Matters第3版的英文影印版，本书引进自美国知名教育出版社McGraw Hill，是一本百科全书式的学术论文写作指南。全书分为12个部分、61章，分别针对论文写作流程、选题、规划布局、搜集资料、各类文献引用格式、语言风格、语法知识、标点符号等进行讲解。在知识点讲解后，用“专业范文”（Professional Model）及“学生范文”（Student Model）作为实例供参考对比。本书既可作为工具书查阅，也可作为课堂教学和自学教材。,3,1,13,河北,保定,河北,中国
2,5022324393509870,西坪小农,2024-04-12 13:15:08,鄂西北山路边发现的金毛鳞伞。#楚天风物# 金毛鳞伞也叫金毛环锈伞，学名Pholiota aurivella，伞菌目、球盖菇科，有文献研究过食用价值和栽培技术，可食用。金毛鳞伞菌种选育及标准化栽培技术研究与示范”是吉林省教育厅“十二五”科学技术研究项目。金毛鳞伞菌盖初期扁半球形，颜色金黄，表面有褐色鳞片，相当好看。稍有疑问的是，我这个拍摄于清明节期间，与度娘等所说的夏秋季并不完全一致。估计是资料不全吧。不丹1999年发行有金毛鳞伞邮票及小型张。@保康县文化旅游 @襄阳文化旅游   @湖北文旅  @保康县林业局,0,0,0,湖北,武汉,湖北,中国
2,5022308838146109,在下姓孟名浪,2024-04-12 12:13:19,我现在觉得自己可牛掰了，我就是做学术的料，教育界研究生怎么能少得了我？区区论文，区区文献 ,0,1,0,四川,,四川,中国
2,5022259517591017,江南西蒙HK,2024-04-12 08:57:21,【读书分享】儒教在编辑经典文献——如前所述，这可能是孔子最重要的成就时刻，不仅清除了那些民间神，而且在教育学上从被神化的经典书籍中删除了所有与儒家传统主义相悖的成份。  一一[德]马克斯•韦伯《儒教与道教》 ,0,0,1,浙江,杭州,浙江,中国
2,5022059337877689,居居你说sa啊,2024-04-11 19:41:54,我这个人这辈子做实验都胆大心不细，唯独水热反应我逐字逐句对比n篇文献依旧小心翼翼，之前安全教育给我留下的心理阴影真的很大... ,0,0,0,安徽,合肥,安徽,中国
2,5022038529410381,te11MeHowUFee1,2024-04-11 18:19:13,我要笑了。教育研究方法让我看11页的英文文献。我说我看簧文都不看全英的11页，文献我会看吗。 ,0,0,0,广东,,广东,中国
2,5021972028719420,云集君李泽龙,2024-04-11 13:54:57,范曾，中国当代著名学者、学界泰斗、当代大儒、思想家、国学大师、书画巨匠、文学家、政治和外交家、散文家、文人画一代宗师、文艺理论家、学问家、古典文献学家、美学家、哲学家、教育家、佛学家、历史学家、经学家、理学家、心学家、鉴赏家、收藏家、藏书家、杂学家、讲演家、社会活动家、慈善家、楚辞专家、吟诵专家、爱国诗人、词人、赋作家。自评：坐五望六，九死一生；无所不能，有所不为；不争当代，而争千古；每以李白、苏轼自比，自诩为世界上最大的画家。,0,2,2,湖南,衡阳,湖南,中国
2,5021957816845420,___Blankkkkkkk,2024-04-11 12:58:30,本科和硕士阶段的学术教育让我有意识地反抗异化的同时也自动被学术的语言体系和思维方式异化，自动定义浅薄和深刻。后来看看哪里有绝对的肤浅，生活的启示比文献来得更直接。 ,0,2,4,英国,,英国,英国
2,5021955160019924,一条草和猫,2024-04-11 12:47:56,批判教育学的文献看不懂一点，能说人话吗 ,0,1,0,上海,上海,上海,中国
