页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5047296559417348,国家电网,2024-06-20 11:05:37,【能源安全新战略｜大国重器⑦：张北柔性直流电网试验示范工程】张北柔性直流电网试验示范工程（以下简称“张北柔直工程”）是国家电网有限公司贯彻落实“四个革命、一个合作”能源安全新战略、践行绿色冬奥理念的重大标志性工程。该工程是集大规模可再生能源友好接入、多种形态能源互补和灵活消纳、直流电网构建等于一体的重大科技试验示范工程，也是世界首个真正具有网络特性的直流电网工程，突破了柔性直流组网、容量提升与可靠性提升等三大技术难题，创造了12项“世界第一”。网页链接,2,0,3,北京,北京,北京,中国
2,5047011883878716,畅游文旅,2024-06-19 16:14:25,重庆红岩革命历史博物馆国家一级博物馆、国家AAAA级旅游景区、全国十大红色旅游景区、全国爱国主义教育示范基地，包括红岩革命纪念馆、重庆歌乐山革命纪念馆及其所属革命遗址群等，拥有革命遗址53处，馆藏10万余件/套，珍贵可移动文物3120件/套。开放时间：9:00-17:00，16:30停止入场（周一闭馆，法定节假日除外）门票：免费（需提前网上预约）预约方式：可以在红岩博物馆微信公众号上预约，地址：重庆市渝中区红岩村52号,0,0,0,福建,泉州,福建,中国
2,5047006373873003,无锡东侠,2024-06-19 15:52:31,无锡市锡山区羊尖镇严家桥村是无锡地区较早建立党组织并开展革命活动的地区之一，抗日战争时期还是抗日民主政权——严安区政府驻地。近年来，羊尖镇以基层党建“书记项目”为牵引，深入挖掘严家桥“三地一村四码头”的历史文化资源，建成了严家桥革命历史陈列馆，打造了古镇红色党建示范带。“严家桥革命历史陈列馆是重要的爱国主义教育基地、革命传统教育基地、红色教育基地、中共党史教育基地。,1,3,6,江苏,无锡,江苏,中国
2,5046704160113953,海淀宣传,2024-06-18 19:51:38,【“银发书香”！海淀启动“乐龄读书汇”】“赓续红色基因 品读书香岁月”，北京市委老干部局联合海淀区委老干部局在香山革命纪念馆举办“银发书香·真理味道”读书交流示范活动！活动现场启动了海淀区“乐龄读书汇”活动，并发布“十大阅读行动计划”。海淀区自6月起将举办不同风格的十场系列阅读活动，引导广大老同志品读经典、浸润书香、寻游书海、悦享银龄，进一步深化集阅读、思考、体验、分享于一体的读书研学平台建设，持续推进海淀区文化建设。（北京日报）#来北京海淀吧##书香海淀 阅享青春##乐龄读书会# @北京发布 @北京时间 @青春北京,0,0,0,,,北京,中国
2,5046687741513754,山东发布,2024-06-18 18:46:23,【山东推出49条国防动员红色旅游线路，暑期快来研学打卡】山东省国防动员办公室督促指导处处长陈琳介绍，山东以各市国防动员（人民防空）宣传教育场馆为切入点，精选全省16市的革命类博物馆、纪念馆、陈列馆、革命遗址、爱国主义教育示范基地等，以国防动员主题为主线，串联起省内渤海红色文化、运河红色文化、铁道红色文化、黄河红色文化、滨海红色文化等各类红色文化资源，与省文化和旅游厅共同发布了49条国防动员红色旅游线路。包括各设区的市国防动员红色旅游线路42条，跨市国防动员红色旅游线路7条。,2,0,1,,济南,山东,中国
2,5046625438796653,无为而尊,2024-06-18 14:38:49,青海原子城国家级爱国主义教育示范基地       ～～青海 金银滩 原子城景区       ～～国家AAAA级景区       “两弹一星”精神       “两弹一星”精神形成于20世纪50至70年代，是老一辈无产阶级革命家英明决策和精心组织，新中国科研专家及创业人员克服艰难险阻，实破各种难关，在独立自主完成原子弹和氢弹爆炸、导弹飞行和人造卫星发射的过程中，自觉培育践行的一种崇高精神，是爱国主义、集体主义、社会主义精神和科学精神的生动体现，是中国人民在社会主义建设时期为中华民族创造的宝贵精神财富。,0,0,0,安徽,合肥,安徽,中国
2,5046253281087529,山西省人民政府,2024-06-17 14:00:00,【山西用实中央专项彩票公益金支持革命老区发展】2021年以来，山西遴选出武乡县、五台县、左权县、岚县、汾西县、云州区、娄烦县、吉县，聚力打造8个联村融合发展的乡村振兴示范区，获得中央财政拨付专项彩票公益金3.89亿元。近年来，山西农业农村部门和财政部门统筹实施，8个示范区有效推进乡村产业提质增效、乡村建设提档升级、乡村治理提升改进，促进了红色文化和乡土文化有效传承，增强了革命老区的内生发展动力。网页链接（来源：山西日报）,0,0,0,,太原,山西,中国
2,5046201277747759,青岛市黄岛区人民检察院,2024-06-17 10:33:21,#求是#【大力推进工程科技创新，加快培育和发展新质生产力】当前新一轮科技革命和产业变革呈现出大国竞争、场景驱动、数实融合、范式更新、组织升级等新特点新趋势，要发挥工程科技的创新性、集成性、辐射性和带动性作用，牵引基础科学发展、示范带动技术进步、推动经济社会发展，加快培育和发展新质生产力。,0,0,0,,青岛,山东,中国
2,5045141759593880,正义法制网,2024-06-14 12:23:12,全省全面深化改革工作现场推进会召开         6月12日至13日，全省全面深化改革工作现场推进会在榆林召开。各专项小组联络员单位负责人、各市（区）委改革办主任和部分县（市、区）委改革办主任参加会议。会前，与会人员现场观摩了优化营商环境、国家能源革命创新示范区建设、现代煤化工产业转型升级、国家区域医疗中心建设、诉源治理等改革进展情况。会议强调，要深入学习习近平总书记关于全面深化改革的重要论述，贯通落实习近平总书记来陕考察重要讲话重要指示精神，坚决贯彻落实中央改革决策部署和省委工作要求，发挥经济体制改革牵引作用，突出改革重点，完善发展新质生产力体制机制，深化高标准市场化改革，纵深推进数字化改革，完善城乡区域协调发展体系，加快构建开放型经济新体制，加大民生领域改革力度，着力破除高质量发展体制机制障碍和民生难点堵点。要准确把握改革方法论，坚持解放思想，加强改革系统集成，发挥试点示范作用，注重总结推广典型经验，持续放大改革综合效应。要加强党对改革工作的领导，以钉钉子精神狠抓落实，不断提升改革能力，当好改革促进派和实干家。要聚焦落实“三个年”活动要求，紧紧围绕大力发展县域经济、民营经济、开放型经济、数字经济，认真谋划进一步全面深化改革，推出一批关键性改革举措，打造一批原创性改革经验。会上，10个设区市党委改革办和杨凌示范区党工委改革办分别作了改革经验交流。 网页链接,1,0,0,陕西,西安,陕西,中国
3,5044890040016839,广州供电,2024-06-13 19:42:58,#能源革命新跨越# 作为“创先引领、标杆示范”和“中心、窗口、标杆”单位，十年来，广州供电局以“四个革命，一个合作“能源安全新战略为根本遵循，紧抓实干，积极推进能源革命新跨越，取得一项项丰硕成果。十年奋进铿锵路，跨越赶超正当时。在新的起点，我们正开拓创新、锐意进取，锚定世界一流目标，向着创建全国领先标杆供电局不断迈进。@国资小新@南网50Hz@广东电网@中国电力报@中国能源新闻@中国广州发布,0,0,3,,广州,广东,中国
