页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022374171249009,烤鸭芋泥锅包肉小麻薯,2024-04-12 16:32:56,一想到那四个字的学科，以及那个学科的一系列学术名词，就会会想到那几个月的午后三四点，阳光拂过窗户照进室内，微粒灰尘在光线的轻抚下点点跳动，变蓝，变粉。热风拂面，带来书籍沉睡的气味。躁动是风带来的唯一讯息。昏沉的脑袋望着室外，幻想春天的到来。 ,0,1,1,广东,,广东,中国
2,5022140638169545,Msidan,2024-04-12 01:04:58,不懂zng们在狡辩什么女性也可以被称为先生……先不提杰出女性本来就不该被称为先生，也不提泰拉有没有这样的三次元说法。单从那句话的语境说，一个干员看到一个兜帽人在搬重物，不是什么学术书籍也不是什么泰拉颁奖大会，这样的称呼在这样的语境里根本就没有不分性别的敬称或者书面语的意思……yj真的是，把博当男的写的心思昭然若揭,0,0,0,甘肃,兰州,甘肃,中国
2,5022089667678702,用户0812039264,2024-04-11 21:42:25,阅读“马拉松”42天打卡第十八天(2024年4月11日) 书籍名称：《世说新语》文学(一) 书籍作者：刘义庆 读书感悟：“魏晋是自春秋战国百家争鸣之后，又一个学术思想的繁荣发展阶段，学术思想趋于活跃，文坛呈现出一派清新自由的景象，各种掌故轶事也是精彩纷呈，为后人津津乐道” ,0,0,2,陕西,西安,陕西,中国
2,5022083706259579,用户7728322191,2024-04-11 21:18:44,图书馆内，一排排书架高耸入顶，各类书籍琳琅满目，知识的海洋在此汇聚。静谧的阅读区，学子们或埋头研读，或凝神思索，空气中弥漫着淡淡的墨香和求知的热情。教室里，洁白的墙壁上挂着名人名言，激励人心；讲台上教师激情授课，台下学生专心听讲，笔尖在纸上沙沙作响，形成和谐的学术交响曲。 宁波·宁波城市职业技术学院,0,0,0,浙江,宁波,浙江,中国
2,5022064362652897,柴小春易学,2024-04-11 20:01:52,正印格八字含义　　正印在八字含义的方面来讲，属于是学术之星，故正印格，或正印为用，或正印现于月干、日支、时干者；或者命中正印能够带动财官流入日干者； 不论是喜是忌，其人普遍具有较高的智慧，仁慈的心地，健康的身体，勤于阅读书籍来充实自己，知识的来源普遍较广。命中正印，如能贴近日主，即现于月干、时干、日支或月支，除了热心追求知识外，它更有防灾之效果，遇到灾难时，能够逢凶化吉，遇难成【v】11330083】#招桃花##算命八字合婚看姻缘财运事业##婚姻##转运##心情日记##人生感悟##失恋分手复合##算八字看婚姻##什么才是真正的正缘#,0,0,0,安徽,淮南,安徽,中国
2,5021903415410813,山茶书苑7078390625,2024-04-11 09:22:18,相信我！这一定是2024年你最值得读的一本书🌹哈佛商学院的明星教授克里斯坦森，他的名字不仅闪耀在学术圈，更是家喻户晓的思想家之一。而他的重磅作品《你要如何衡量你的人生》再版了！这本书被誉为哈佛商学院毕业前最重要的一堂课，不仅如此，它更是一本引领读者重新定义成功之路的心灵自助书籍。🌿在书中，克里斯坦森不断强调：成功不是模板，但可以复制生活的逻辑。他不告诉你“答案是什么”，而是教你“如何思考”。这本书可不是那种平淡无奇的常识汇编，而是作者多年企业管理实践和研究的结晶。他运用缜密的分析，解读个人成功与幸福的内在联系，为我们揭示了选择与结果之间的深刻关系。🌸更让人兴奋的是，书中充满了有趣且具有说服力的商业案例，涵盖了苹果、迪士尼、宜家等知名公司。这些案例不仅生动形象，更是克里斯坦森观点的有力佐证，让读者仿佛置身于商业智慧的海洋中，感受到了成功的魅力。🌹他以丰富的商业案例为依据，解析个人成功和幸福的因果关系。在面对机遇时，如何做出最佳选择？克里斯坦森给出了答案：制定周密战略或采取应急战略。如果已找到事业出路，就需要制定周密战略，明确目标、坚定信念；如果还在探索中，就要采取应急战略，不断地进行尝试，并灵活调整，直到找到适合自己的方向。🌿最令人印象深刻的是，克里斯坦森提出人生目标的三个组成部分：我想成为的人、对目标是否认同、找到正确的标尺。他强调，这是一个过程，而非事件。这并非一蹴而就的事件，而是一个不断迭代的过程。通过这个过程，我们能够找到真正热爱的事业，并在其中取得卓越成就。🌸最后，让我们深思，一辈子最重要的是什么？与其沉湎于商业理论，不如花时间寻找自己的人生目标。因为学会寻找自己的人生目标，将成为你学到的最重要的事情，成就你的成功与幸福之路。🌹2024年，就让《你要如何衡量你的人生》成为你的指引吧！这本书的精彩观点和生动案例都十分让人激动不已，会让人忍不住一口气读完，其中的精华对工作和生活都有极大的启发价值。#努力成为更好的自己#你要如何衡量你的人生#我的私人书单#好书分享 昆明·滇池风景区,0,0,2,云南,昆明,云南,中国
2,5021737217427861,跳不起来的鞋子,2024-04-10 22:21:55,随手看一个书评就开始犯恶心，现代社会学的书籍究竟是因为作为大众读物的“社会学”太复杂了，所以不能用一些简化的非学术用语表达，还是译者因为抓住看社会学的大多数人都是nm装逼来读的书，所以刻意翻译得晦涩难懂？#当你想表达恶心# ,0,0,0,湖南,,湖南,中国
2,5021733361549387,一只小贝y,2024-04-10 22:06:34,案例分享day31 第七周 4.10 周三《三重阶：当代中国手工艺学术提名展作品》山东美术出版社书籍设计：韩湛宁 亚洲铜设计顾问设计亮点：本书的设计采用了三个颜色，分别表述“遗所思” “忽如寄”“道无因”的三个工艺追问，以此来表达书的主题。同时，三种不同颜色基调的文字让版面分类层次变得清晰，繁复的文本与图像交错，与画面吻合；图像的灵动分布与局部扩张的页面，一张一弛，富有律动感。整体版面设计简约而细部不失三重阶抽象符号的精心考量，最后还做了视觉化的图表索引，阅读后对全书信息一目了然，是一份用心的设计。,0,0,0,上海,上海,上海,中国
2,5021220838049885,牛津大学出版社学术出版-北京,2024-04-09 12:10:00,#牛津在线资源# 【在众多学者的强烈呼吁下，Oxford Scholarship Online (OSO) Archive 将牛津大学出版社在1990-2009年间出版的7500多本图书进行了数字化，覆盖艺术与人文、法律、医学与健康、科学与数学以及社会与行为科学这5大学科，欢迎您访问牛津学术官网阅读网页链接！】💡书籍推荐：📘Antigone网页链接📘Bad Business: Professional Crime in Modern Britain 网页链接📘Fear网页链接📘Females Are Mosaics网页链接📘Mating and Marriage网页链接如果无法访问，可以推荐给您的图书馆免费试用或购买哦网页链接！ （图片源于牛津大学出版社，经由Canva国际版编辑）,64,9,81,北京,北京,北京,中国
2,5021662834067435,赫奇帕奇的大麻瓜,2024-04-10 17:26:20,虽然是学术书籍，但还是觉得这段尊嘟好好玩 ,0,0,0,北京,北京,北京,中国
