页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5020896916144180,抟文文化-马老师,2024-04-08 14:42:50,《微型计算机》国家级纸质刊，维普收录，3版5000字符 24年11月版面主要栏目：计算机应用，计算机与信息技术，计算机与软件，硬件设计，应用与开发，云计算，大数据技术，人工智能，信息化建设，数字媒体技术，数字产业，电子商务，理论研究，网络与通信，实践探索，课题研究，互联网+教育，智慧教育，信息技术教育，科教论坛等。,0,0,0,河北,石家庄,河北,中国
2,5020894244114175,田琴之5863343386,2024-04-08 14:32:14,#邯郸初中生被害案3人被刑事追诉#社会底线不断滑坡，谁之过？教育界，家长，社会……都难脱其咎！爱在哪里？善良在哪里？后工业化如何转换到智能化？债务制度如何转换成股权分红？人思想道德提升至智能化。2009年高金波基于抱团取暖启发，发现了智能化应该匹配消费者所有制，给软件和智能机器腾出空间，消费者选择“公共市场”就是幸福和富裕，否则，必然是灾难！如此简单的道理，15年过去了，“火种”遍布互联网，中国人看不见，全世界人看不见！证明：人类面对未知信息是动物！当今世界的悲哀！谁懂的生命的重要？西方动物：领驭空间，走自己的路，让别人无路可走。软件替代白领，机器替代蓝领，干掉全球就业，追加AGi和战争毁灭！东方动物：领驭时间，走未来的路，让子孙无路可走，加大投资，把子孙的资源和能源都挖出来，烧了再说！全民跟着糟！谁懂市场？统一大市场如何建？谁能把这群动物变成人呢？母亲频道！（周一、周四晚八点）,0,0,0,河北,石家庄,河北,中国
2,5019480578852597,慧慧打板笔记,2024-04-04 16:54:50,华为鸿蒙系统产业链概念股大全，收藏好！  传智教育 东方中科 恺英网络 软通动力 达华智能 润和软件 智微智能 常山北明 立达信 新开普 思特奇 汉王科技 创识科技 芯海科技 ,0,0,105,广东,,广东,中国
2,5019365123031341,Joanna的猪,2024-04-04 09:16:02,@EI会议 全科  包发包检索  周期短 @EI源刊 稳定高质量  五个月成功发表 南北核心期刊代发高通过率 本期重点推荐 EI会议 EI会议现有选题方向：音乐、艺术、钢琴、绘画、教育、美术、思政、体育、集合、医学、人工智能，算法结构、体系结构、软件工程等。 ,0,0,1,吉林,白城,吉林,中国
2,5019013287510469,财经网,2024-04-03 09:57:59,#张雪峰成立人工智能公司#【#张雪峰一个月成立3家公司#】企查查APP显示，近日，苏州峰火轮科技有限公司成立，法定代表人、实际控制人均为张子彪（张雪峰），经营范围含人工智能基础软件开发、人工智能应用软件开发、软件外包服务、网络与信息安全软件开发等，由苏州峰学蔚来教育科技有限公司全资持股。值得一提的是，在一个月内，张雪峰已成立3家公司，此前2家均为旅行社公司。,51,32,57,,北京,北京,中国
2,5019020556239643,职称论文投稿专著专利标书课题,2024-04-03 10:26:52,《互动软件现代化教育》 《电脑爱好者普及版》（工程科技） 国家级万方 22年版面5000字符以内 主要收稿方向：建筑，农业，经济，计算机，智能化，教育类等文章 欢迎咨询投稿 ,0,0,0,河北,张家口,河北,中国
2,5018686895950113,江西教育电视台官方微博,2024-04-02 12:21:01,#教育新闻# #这里是江西# 【送岗进校园 精准促就业】江西工程学院日前举行2024届毕业生春季大型招聘会。200多家企业参会，提供6000多个就业岗位，涵盖电子技术、数字经济、电子商务、工程管理、智能制造、信息传输、软件和信息技术服务业等行业领域，满足不同专业毕业生的就业需求。网页链接 江西教育电视台官方微博的微博视频,0,0,1,,南昌,江西,中国
2,5018635301290795,冯祺Fred,2024-04-02 08:56:00,OpenAI 在其官网博客上公布了语音生成模型— Voice Engine，该模型可以根据某人的 15 秒语音片段创建情感丰富且逼真的声音。该模型于 2022 年底首次开发，并且已经对教育技术公司 Age of Learning、视觉故事平台 HeyGen、健康软件制造商 Dimagi、人工智能通信应用开发商 Livox 和健康系统 Lifespan 等公司开放访问。Voice Engine 的用途十分广泛，可用于提供阅读帮助、改善偏远地区的基本服务交付，以及为患有影响言语的人士提供治疗应用。OpenAI 还在博客中表示，「通过开放小规模部署，有助于我们按照现有方法、保障措施等推进产品落地，并在不断磨合、探索过程中思考，如何将 Voice Engine 用于各行各业」。（爱范儿）,0,0,0,黑龙江,双鸭山,黑龙江,中国
2,5018103148184062,游资赵老哥v,2024-03-31 21:41:25,感兴趣的可以关注仙人指路  *华科技：专用机械+核电核能+光伏 *试试验：电器仪表+军工+芯片 *其软件：软件+大数据+智能交通+职业教育+信创。 ,0,0,143,广东,韶关,广东,中国
2,5017692665546145,潘益兵,2024-03-30 18:30:18,#好地方好教育# 扬州大学信息工程学院（人工智能学院）位于扬州大学扬子津校区，所属相关学科专业已有70余年办学历史，为国家培养了大批高素质的信息技术人才。学院现设有计算机科学与技术、软件工程、电子信息工程、自动化、人工智能等5个本科专业，开设工业软件与安全微专业。其中，软件工程、计算机科学与技术为国家级一流本科专业建设点、入选江苏高校品牌专业建设工程项目，计算机科学与技术专业被列入教育部卓越工程师教育培养计划，为省级特色专业，软件工程专业入选江苏省卓越工程师教育培养计划2.0专业，电子信息工程专业被列入省卓越工程师培养计划。电子信息工程、计算机科学与技术专业通过中国工程教育认证。《微机原理及应用》为首批国家级一流本科课程。学院现有软件工程一级学科博士点，软件工程博士后流动站；信息计算科学、农业信息化技术、兽医生物信息学3个二级学科博士点；计算机科学与技术、软件工程、控制科学与工程、管理科学与工程4个一级学科硕士学位点；电子信息、工程管理两个专业硕士学位授权点。软件工程学科在第五轮学科评估中取得突破，计算机科学学科ESI排名进入全球大学和科研机构前1%。学院现有普通全日制本科生1800多人，博、硕士研究生500多人，各类留学生100多人。#高质量教育看江苏#,0,0,4,江苏,南京,江苏,中国
