页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4669476447197398,不是杨咩咩嘢,2021-08-12 21:03:22,洋迪 看到下午好多人都以为那是陈望道先生的故居，我刚开始也这样以为，后来就去查了资料，结果发现是苏步青先生的旧居，对不住老先生🙏🙏🙏柚子们咱圈地自萌哈，免得引起不必要的误会 ,1,1,8,,,,
2,4669422143017801,翛以羊者,2021-08-12 17:27:35,好吧，是陈望道旧居 ,0,5,0,,,,
2,4668562096521622,泰州发布,2021-08-10 08:30:03,#红色故事天天读# #百年辉煌E心向党# 【英特纳雄耐尔一定要实现】　1920年，复旦大学老校长陈望道翻译首个中文全译本《共产党宣言》。2018年5月，复旦大学修缮了陈望道旧居，以“信仰之源”为主题打造《共产党宣言》展示馆，融宣传教育、社会实践、学术培养为一体。一批复旦青年师生党员自发追寻“真理的味道”，组建了党员志愿服务队，面向广大师生和社会各界开展宣讲活动。 泰州发布的微博视频,0,0,1,,,,
2,4656736722488498,怼怼_uni,2021-07-08 17:20:15,吉祥弟弟 🍃#阳光信用# 最闪亮的光，诚信是一杯浓浓的热茶，它让疲惫的人们感到慰藉，以至于沁人心脾；诚信是一条溪流，一条大海中最不起眼的溪流。可是，若没有那一颗颗小的星，早在陈望道旧居修缮时，复旦大学便提出打造“玖园爱国主义教育建筑群”的规划设想，计划修缮苏步青、谈家桢（陈建功）旧居。去年下半年，玖园二期工程正式启动，修缮工作陆续展开，秉持“修旧如旧”原则进行，处处蕴含精益求精的工匠精神，力求最大程度还原旧居原貌。@井汲大翔_Ikumi_Hiroto ,0,0,0,,,,
2,4655533153587476,上海住房城乡建设管理,2021-07-05 09:37:42,【收藏！杨浦红色建筑微打卡攻略→】 #杨浦区# 推出《信仰——上海杨浦红色文化微旅行打卡攻略》啦！市民游客可跟随攻略里推荐的线路，游览杨浦经典红色点位，感悟红色文化，传承红色精神。攻略包含《共产党宣言》展示馆（陈望道旧居）、国歌展示馆等11处红色建筑地标。详见↓ 收藏！杨浦红色建筑微打卡攻略→ ,0,1,3,,,,
2,4654969800365160,东方网,2021-07-03 20:19:08,【#上海苏步青、谈家桢旧居修缮一新#，“玖园爱国主义教育建筑群”落成开放】玖园是复旦大学第九宿舍的雅称，位于上海市杨浦区国顺路650弄。这里居住过多位名师大家，从《共产党宣言》中文全译本首译者陈望道、到著名数学家苏步青、陈建功、谷超豪、胡和生夫妇，新中国遗传科学的主要奠基人谈家桢、中国历史地理学科主要开创者之一谭其骧，经济学家蒋学模、张薰华，“中国电光源之父”蔡祖泉，以及《英汉大词典》主编陆谷孙等。7月3日，位于复旦玖园的苏步青旧居、谈家桢（陈建功）旧居修缮一新向公众亮相。与2018年5月修缮完成的玖园一期——《共产党宣言》展示馆交相辉映，将信仰、爱国、科学，融为一体，构成“玖园爱国主义教育建筑群”。（东方网记者傅文婧、刘晓晶）苏步青、谈家桢旧居修缮一新，“玖园爱国主义教育建筑群”落成开放,1,2,4,,,,
2,4645402596871685,淄博检察,2021-06-07 10:42:29,【探访陈望道旧居：共溯信仰之源，品味真理之甘】在中国共产党创建历史中不可或缺的经典著作，那就是《共产党宣言》。1920年8月，由陈望道翻译的首个《共产党宣言》中文全译本在上海出版，一经推出就引起强烈反响。其后，更多的译者接力翻译、传播，信仰的火种播撒开来。作为《共产党宣言》首个中文全译本的译者，陈望道和这本经典文献之间的故事可谓有一箩筐也不为过。如今，陈望道旧居也已经化身为《共产党宣言》的展示馆。看看新闻KNEWS的秒拍视频,0,41,19,,,,
2,4644411441154610,寄南收啡氵,2021-06-04 17:03:59,发布了头条文章：《探访陈望道旧居：共溯信仰之源，品味真理之甘》 探访陈望道旧居：共溯信仰之源，品味真理之甘 ,0,0,0,,,,
2,4643634509513470,绿色上海,2021-06-02 13:36:43,"#生活在风景中# 【杨浦篇1】真理的味道非常甜陈望道旧居也称《共产党宣言》展示馆,讲述着红色故事,追寻着信仰之光。与之毗邻的有五角场环岛商圈和建于1935年的江湾体育场，历史在这里沉淀、真理传承到未来。为迎接建党一百周年，周边地区进行美丽街区、环境品质提升工程，生态景观与建筑相容，红色气息与环境艺术辉映。推荐打卡点：陈望道故居、五角场城市副中心及江湾体育场周边区域",3,0,3,,,,
3,4639308327947637,敦煌发布,2021-05-21 15:06:02,【《红色基因述初心》党建微纪录片】真理之甘•信仰之源--陈望道旧居 真理之甘•信仰之源 ,0,0,0,,,,
3,4638984824947388,灵台发布,2021-05-20 17:40:32,【真理之甘•信仰之源 _光明网】上海市杨浦区国福路51号，这座绿意掩映的洋房，建于民国时期，因为一部《宣言》被永久地刻上了历史印记，这里就是陈望道旧居。 真理之甘•信仰之源 ,0,0,0,,,,
3,4629476363472965,April要做一颗小太阳,2021-04-24 11:57:19,参观完陈望道旧居，和同事来付小姐吃个早饭～ 上海·复旦大学 ,0,0,1,,,,
